Date,Open,,Date,High,,Date,Low,,Date,Close,,Date,Volume
Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),11233.68,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),11237.6,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),10715.1,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),10905.46,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),967953848
Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),10985.52,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),11652.13,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),10976.93,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),11561.59,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),1201332425
Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),11601.81,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),12541.36,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),11494.9,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),12538.65,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),1312310339
Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),12635.08,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),13086.97,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),12411.58,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),12542.05,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),1662399800
Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),12586.49,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),12967.05,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),12281.19,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),12916.22,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),1507741491
Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),13116.62,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),13733.21,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),12815.04,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),13724.23,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),1320128339
Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),13766.05,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),14037.97,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),13274.9,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),13718.9,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),1294368017
Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),13593.66,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),14770.86,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),12973.14,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),14352.11,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),1206507624
Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),14513.24,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),15243.71,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),14176.49,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),15220.47,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),1215222134
Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),15449.73,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),16734.92,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),15187.16,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),15549.18,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1653287807
Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15312.7,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15908.71,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15024.07,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15197.49,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1566537084
Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15520.39,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),16125.25,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),14760.93,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),16014.34,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1448299615
Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15845.11,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),16231.91,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15444.24,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15717.93,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1075334831
Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15725.96,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),16058.67,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15097.95,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),15376.23,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1325802893
