Date,Open,,Date,High,,Date,Low,,Date,Close,,Date,Volume
Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),896.01,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),919.27,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),894.73,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),917.81,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),70650197
Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),916.39,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),922.12,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),908.63,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),917.87,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),60579032
Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),918.62,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),921.5,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),906.93,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),914.18,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),61057912
Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),915.81,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),920.2,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),906.65,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),909.3,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),63224658
Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),909.42,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),949.24,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),906.83,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),941.73,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),86012779
Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),938.18,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),939.91,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),918.83,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),928.34,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),77729513
Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),929.44,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),954.15,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),920.11,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),951.77,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),78986147
Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),957.07,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),975.21,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),947.85,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),972.65,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),61216849
Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),971.6,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),984.55,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),967.92,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),976.14,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),102780350
Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),976.04,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1020.43,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),972.99,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1018.16,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),96454566
Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1015.02,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1026.59,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1006.4,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1024.24,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),81755159
Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1021.81,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1036.68,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1019.83,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1031.86,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),65149251
Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1033.65,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1042.51,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1024.74,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1034.79,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),62071695
Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1033.44,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1036.28,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),994.65,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1003.42,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),75701912
Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1002.25,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1004.84,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),979.46,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),980.41,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),71487421
Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),988.21,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),993.87,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),974.27,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),993.87,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),67158357
Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),998.25,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),1004.67,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),988.91,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),995.97,,Fri Apr 26 2024 12:00:00 GMT-0400 (Eastern Daylight Time),65672468
