Date,Open,,Date,High,,Date,Low,,Date,Close,,Date,Volume
Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),3175.99,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),3278.01,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),3175.99,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),3237.2,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),240874231
Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),3241.14,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),3258.48,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),3143.1,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),3176.52,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),293838293
Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),3184.21,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),3214.11,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),3049.76,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),3085.88,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),230113418
Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),3088.93,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),3182.06,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),2967.74,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),3073.63,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),307820381
Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),3072.19,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),3162.07,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),3062.17,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),3145.5,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),255030503
Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),3143.61,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),3207.81,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),3096.34,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),3206.44,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),259840755
Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),3205.8,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),3252.81,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),3187.14,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),3236.23,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),225188266
Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),3233.96,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),3274.39,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),3215.04,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),3260.67,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),226351463
Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),3262.88,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),3289.11,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),3070.9,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),3117.17,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),330854834
Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),3101.18,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),3144.37,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),3060.31,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),3109.76,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),240430470
Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3108.4,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3185.25,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3104.51,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3165.62,,Fri Mar 15 2024 12:00:00 GMT-0400 (Eastern Daylight Time),266186036
Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3167.9,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3210.38,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3144.91,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3180.71,,Fri Mar 22 2024 12:00:00 GMT-0400 (Eastern Daylight Time),206340187
Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3184.29,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3230.29,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3162.31,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3223.92,,Thu Mar 28 2024 12:00:00 GMT-0400 (Eastern Daylight Time),185628127
Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3221.51,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3221.51,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3007.98,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3044.43,,Fri Apr 05 2024 12:00:00 GMT-0400 (Eastern Daylight Time),273472260
Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3041.42,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3056.23,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),2933.01,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),2944.09,,Fri Apr 12 2024 12:00:00 GMT-0400 (Eastern Daylight Time),203221205
Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),2954.3,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3147.51,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),2954.3,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),3128.08,,Fri Apr 19 2024 12:00:00 GMT-0400 (Eastern Daylight Time),272188478
