Date,Open,,Date,High,,Date,Low,,Date,Close,,Date,Volume
Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),1339.14,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),1357.19,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),1314.7,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),1319.02,,Fri Jan 05 2024 11:00:00 GMT-0500 (Eastern Standard Time),60415855
Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),1319.98,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),1366.79,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),1319.54,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),1354.47,,Fri Jan 12 2024 11:00:00 GMT-0500 (Eastern Standard Time),57162054
Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),1353.38,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),1365.46,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),1343,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),1360.87,,Fri Jan 19 2024 11:00:00 GMT-0500 (Eastern Standard Time),63494932
Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),1363,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),1383.73,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),1354.88,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),1382.84,,Fri Jan 26 2024 11:00:00 GMT-0500 (Eastern Standard Time),56039710
Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),1383.95,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),1405.83,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),1356.57,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),1397.62,,Fri Feb 02 2024 11:00:00 GMT-0500 (Eastern Standard Time),56871631
Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),1383.04,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),1422.57,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),1367.35,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),1415.56,,Fri Feb 09 2024 11:00:00 GMT-0500 (Eastern Standard Time),64723302
Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),1414.64,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),1416.32,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),1388.27,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),1402.59,,Fri Feb 16 2024 11:00:00 GMT-0500 (Eastern Standard Time),58558931
Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),1400.48,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),1434.43,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),1391.68,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),1426.87,,Fri Feb 23 2024 11:00:00 GMT-0500 (Eastern Standard Time),51106898
Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),1431.74,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),1466.14,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),1417.81,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),1425.88,,Fri Mar 01 2024 11:00:00 GMT-0500 (Eastern Standard Time),74677059
Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1424.55,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1429.86,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1396.89,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),1400.55,,Fri Mar 08 2024 11:00:00 GMT-0500 (Eastern Standard Time),132513616
