ticker,model_type,current_price,data_points,above_sma_10,above_sma_20,above_sma_50,sma_10_slope,sma_20_slope,sma_50_slope,trend_score,predicted_price_5d,predicted_return_5d,prediction_confidence,sma_20,upper_band,lower_band,band_position,rsi,oversold_signal,overbought_signal,reversion_score,predicted_direction,reversion_target,potential_return,volatility_daily,volatility_annualized,current_vol_20d,avg_vol_50d,volatility_percentile,volatility_regime,vol_clustering_signal,downside_volatility,analysis_date,assets_analyzed,overlapping_periods,highest_correlation,highest_corr_pair,lowest_correlation,lowest_corr_pair,avg_correlation,diversification_ratio
^DJI,simple_trend,45400.859375,88.0,True,True,True,234.97914062500058,148.47271484375014,67.61486328124992,100.0,48751.959511974026,0.07381138117441256,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^DJI,mean_reversion,45400.859375,,,,,,,,,,,,43361.6724609375,46552.8373567649,40170.5075651101,0.8195050993336056,69.17439401333984,False,False,0.0,neutral,43361.6724609375,-0.04491516112546046,,,,,,,,,,,,,,,,,
^DJI,volatility,45400.859375,,,,,,,,,,,,,,,,,,,,,,,0.019746750522420434,0.31346994650375554,0.2932920341941484,0.3262455055783968,32.18390804597701,normal,0.4850047245761165,0.2376504668084583,,,,,,,,,
^IXIC,simple_trend,21700.388671875,88.0,True,True,True,192.60757812500015,165.94208984375,52.42147949218761,100.0,23936.696275255155,0.10305380411358915,0.8666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^IXIC,mean_reversion,21700.388671875,,,,,,,,,,,,20012.59248046875,22666.67341302397,17358.511547913527,0.8179624574939622,77.63114135362756,False,True,-22.368858646372445,down,20012.59248046875,-0.0777772332526806,,,,,,,,,,,,,,,,,
^IXIC,volatility,21700.388671875,,,,,,,,,,,,,,,,,,,,,,,0.028658362207160202,0.45493739629534813,0.4178612913955119,0.47160689291041413,26.436781609195403,normal,0.7416808215127149,0.31494502711074324,,,,,,,,,
^NYA,simple_trend,21136.04296875,88.0,True,True,True,89.259375,78.69268554687514,35.732423828125135,100.0,22769.80354610604,0.07729737206588672,0.9333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
^NYA,mean_reversion,21136.04296875,,,,,,,,,,,,20230.236328125,21509.332860934377,18951.139795315623,0.8540806410582272,69.47870754718573,False,False,0.0,neutral,20230.236328125,-0.042856018128097584,,,,,,,,,,,,,,,,,
^NYA,volatility,21136.04296875,,,,,,,,,,,,,,,,,,,,,,,0.018353459371637928,0.29135213517049047,0.26453793561789885,0.3059674999184542,29.88505747126437,normal,0.3789245525193574,0.2525733713789273,,,,,,,,,
^XAX,simple_trend,6664.078125,88.0,True,True,True,77.73049804687489,63.17552001953127,16.29481396484375,100.0,8058.989017623462,0.2093179081125288,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
