Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2024-01-01 00:00:00-05:00,340.7795,214.0015,114.9869,292.3128,334.4293,95.2634
2024-01-08 00:00:00-05:00,340.7795,225.5632,113.7322,307.9970,334.5716,101.1236
2024-01-15 00:00:00-05:00,340.7795,229.6776,114.4627,315.6144,334.1776,109.9189
2024-01-22 00:00:00-05:00,340.7795,242.3759,115.6048,319.6197,334.2542,115.7663
2024-01-29 00:00:00-05:00,340.7795,255.6825,117.0252,325.1781,334.0545,120.4316
2024-02-05 00:00:00-05:00,340.7795,258.1609,117.1875,332.7466,333.5921,128.3197
2024-02-12 00:00:00-05:00,340.7795,255.3921,119.5181,320.8446,333.8671,127.1094
2024-02-19 00:00:00-05:00,340.7795,260.4007,122.3936,325.9192,334.0805,132.7148
2024-02-26 00:00:00-05:00,340.7795,262.9564,123.1473,330.0969,334.0480,141.0322
2024-03-04 00:00:00-05:00,340.7795,261.6879,124.8460,323.2617,334.3119,143.2361
2024-03-11 00:00:00-04:00,340.7795,260.1338,126.0518,330.7033,334.2855,138.7660
2024-03-18 00:00:00-04:00,340.7795,274.5389,129.7158,340.2555,334.2786,146.9479
2024-03-25 00:00:00-04:00,340.7795,267.2442,131.8493,334.0865,334.4855,143.4207
2024-04-01 00:00:00-04:00,339.5103,280.8050,131.7485,338.1871,385.5267,142.1753
2024-04-08 00:00:00-04:00,339.5103,279.4738,123.8675,335.4752,385.7322,141.3106
2024-04-15 00:00:00-04:00,339.5103,264.5670,125.6228,317.9412,385.6794,124.7442
2024-04-22 00:00:00-04:00,339.5103,267.4301,130.1070,323.7248,386.5989,138.7269
2024-04-29 00:00:00-04:00,339.5103,267.7400,128.3693,324.0827,386.7628,137.4444
2024-05-06 00:00:00-04:00,339.5103,276.9768,133.1859,330.2958,386.8781,140.7139
2024-05-13 00:00:00-04:00,339.5103,281.4257,136.6963,334.3603,386.8392,144.3625
2024-05-20 00:00:00-04:00,339.5103,284.1336,134.3172,342.3340,387.0670,155.9443
2024-05-27 00:00:00-04:00,339.5103,279.2704,135.4368,331.0739,386.9948,156.4563
2024-06-03 00:00:00-04:00,339.5103,287.1871,133.8740,337.7643,387.2726,168.8302
2024-06-10 00:00:00-04:00,339.5103,293.5565,130.2761,351.7053,387.2129,183.0078
2024-06-17 00:00:00-04:00,339.5103,294.1977,131.7456,357.1764,387.1142,178.2065
2024-06-24 00:00:00-04:00,339.5103,297.7034,135.2210,355.3153,386.9906,174.1313
2024-07-01 00:00:00-04:00,343.7519,313.5842,138.1355,374.4922,404.9245,180.7028
2024-07-08 00:00:00-04:00,343.7519,296.6057,138.8851,363.9706,405.1884,183.7394
2024-07-15 00:00:00-04:00,343.7519,285.0668,141.7231,351.5620,405.1148,163.3709
2024-07-22 00:00:00-04:00,343.7519,274.9679,143.1656,342.4221,405.0342,157.9362
2024-07-29 00:00:00-04:00,343.7519,279.2009,135.4843,329.3445,405.5454,148.0457
2024-08-05 00:00:00-04:00,343.7519,286.1084,139.3894,328.1759,405.4592,149.8244
2024-08-12 00:00:00-04:00,343.7519,290.8980,144.1800,337.9773,405.9786,170.2452
2024-08-19 00:00:00-04:00,343.7519,293.7202,146.7248,337.3804,406.2930,173.4036
2024-08-26 00:00:00-04:00,343.7519,291.5215,150.5302,337.7065,406.4271,165.5429
