ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,filter_applied,universe_name,generation_source,generation_date
NVR,"NVR, Inc.",23154272277.0,USD,Consumer durables,Homebuilding,NYSE,Neutral,2025-10-28,2025-07-23,"S&P 500, S&P 500 Consumer Discretionary, Russell 3000, Russell 1000",False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
FCNCA,"First Citizens BancShares, Inc.",25470557438.0,USD,Finance,Regional banks,NASDAQ,Buy,2025-10-23,2025-07-25,"NASDAQ Composite, NASDAQ Bank, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
MKL,Markel Group Inc.,24602701646.0,USD,Finance,Property/Casualty insurance,NYSE,Neutral,2025-11-04,2025-07-30,"Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
GHC,Graham Holdings Company,4756096325.0,USD,Consumer services,Other consumer services,NYSE,Sell,2025-10-29,2025-07-30,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
AZO,"AutoZone, Inc.",69928867050.0,USD,Retail trade,Specialty stores,NYSE,Buy,2025-09-23,2025-05-27,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
BKNG,Booking Holdings Inc. Common Stock,184920440663.0,USD,Consumer services,Other consumer services,NASDAQ,Buy,2025-10-29,2025-07-29,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",True,True,True,True,True,True,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
SEB,Seaboard Corporation,3557349399.0,USD,Process industries,Agricultural commodities/Milling,AMEX,Neutral,,,"Russell 3000, Russell 1000, NASDAQ US Benchmark Food Producers",False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
WTM,"White Mountains Insurance Group, Ltd.",4727197109.0,USD,Finance,Multi-line insurance,NYSE,Neutral,2025-11-10,2025-08-07,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
DJCO,Daily Journal Corp. (S.C.),629414840.0,USD,Consumer services,Publishing: newspapers,NASDAQ,Neutral,,,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
NEU,NewMarket Corp,7642365600.0,USD,Process industries,Chemicals: specialty,NYSE,Neutral,2025-10-27,2025-07-30,"S&P MidCap 400, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Russell3000,ticker_universe_Russell3000,simple_universe_generator,2025-09-16T09:34:28.330981
