ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
MAIN,Main Street Capital Corporation,5779885328.0,USD,Finance,Financial conglomerates,NYSE,Neutral,2025-10-30,2025-08-07,Nasdaq US Small Cap Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
VNOM,"Viper Energy, Inc.",12712234322.0,USD,Finance,Financial conglomerates,NASDAQ,Strong buy,2025-11-10,2025-08-04,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000, NASDAQ Industrials",True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
IGIC,International General Insurance Holdings Ltd.,1091636293.0,USD,Finance,Financial conglomerates,NASDAQ,Strong buy,2025-11-06,2025-08-05,"NASDAQ Composite, NASDAQ Insurance",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
MSDL,Morgan Stanley Direct Lending Fund,1531769600.0,USD,Finance,Financial conglomerates,NYSE,Neutral,2025-11-06,2025-08-07,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
BCSF,"Bain Capital Specialty Finance, Inc.",1005461864.0,USD,Finance,Financial conglomerates,NYSE,Buy,2025-11-05,2025-08-05,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
RMR,The RMR Group Inc.,526168572.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,2025-11-17,2025-08-05,"NASDAQ Composite, Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
LIEN,"Chicago Atlantic BDC, Inc.",251482902.0,USD,Finance,Financial conglomerates,NASDAQ,Buy,2025-11-06,2025-08-14,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",88159888.2,USD,Finance,Financial conglomerates,NYSE,Neutral,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
MDBH,"MDB Capital Holdings, LLC",33334615.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
FSHP,Flag Ship Acquisition Corp.,93061499.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
ALF,Centurion Acquisition Corp.,378062500.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
GPAT,GP-Act III Acquisition Corp.,380039056.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
LEGT,Legato Merger Corp. III,244527211.599907,USD,Finance,Financial conglomerates,AMEX,Neutral,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
HYAC,Haymaker Acquisition Corp. 4,326765588.8,USD,Finance,Financial conglomerates,NYSE,Neutral,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
GRAF,Graf Global Corp.,301875000.0,USD,Finance,Financial conglomerates,AMEX,Neutral,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
MACI,Melar Acquisition Corp. I,227027031.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
LPAA,Launch One Acquisition Corp.,300725001.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
BKHA,Black Hawk Acquisition Corporation,45689347.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
SIMA,SIM Acquisition Corp. I,320160003.48,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
PCSC,Perceptive Capital Solutions Corp,116872800.0,USD,Finance,Financial conglomerates,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Financial conglomerates,ticker_universe_industry_Financial_conglomerates,simple_universe_generator,2025-09-27T00:29:14.203243
