ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
KMB,Kimberly-Clark Corporation,43068352909.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Buy,2025-10-28,2025-08-01,"S&P 500, NASDAQ Composite, S&P 500 Consumer Staples, Russell 3000, Russell 1000, NASDAQ Industrials, S&P 500 ESG",True,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
CLX,Clorox Company (The),14392148960.0,USD,Consumer non-durables,Household/Personal care,NYSE,Neutral,2025-10-29,2025-07-31,"S&P 500, S&P 500 Consumer Staples, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
PG,Procter & Gamble Company (The),365339698509.0,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2025-10-15,2025-07-29,"S&P 500, Dow Jones Industrial Average, S&P 500 Consumer Staples, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
IPAR,"Interparfums, Inc.",3662369830.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Buy,2025-11-05,2025-08-05,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
CL,Colgate-Palmolive Company,68003699739.0,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2025-10-31,2025-08-01,"S&P 500, S&P 500 Consumer Staples, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
ENR,"Energizer Holdings, Inc.",1899230534.0,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2025-11-18,2025-08-04,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
UL,Unilever PLC,151801856510.838,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2026-02-05,2025-07-31,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
CHD,"Church & Dwight Company, Inc.",22504569961.0,USD,Consumer non-durables,Household/Personal care,NYSE,Neutral,2025-10-24,2025-08-01,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
NUS,"Nu Skin Enterprises, Inc.",604367102.0,USD,Consumer non-durables,Household/Personal care,NYSE,Neutral,2025-10-29,2025-08-07,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
ELF,"e.l.f. Beauty, Inc.",6526783112.0,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2025-11-05,2025-08-06,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
REYN,Reynolds Consumer Products Inc.,4799617759.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Buy,2025-10-30,2025-07-30,"NASDAQ Composite, Russell 3000, Russell 1000, NASDAQ Industrials",True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
EPC,Edgewell Personal Care Company,1075647162.0,USD,Consumer non-durables,Household/Personal care,NYSE,Buy,2025-11-06,2025-08-05,"Russell 2000, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
KVUE,Kenvue Inc.,39897463402.0,USD,Consumer non-durables,Household/Personal care,NYSE,Neutral,2025-10-23,2025-08-07,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000",False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
AXIL,"AXIL Brands, Inc.",41810463.0,USD,Consumer non-durables,Household/Personal care,AMEX,Neutral,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
SLSN,"Solesence, Inc.",248096459.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Neutral,,,"NASDAQ Composite, Russell 2000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
NHTC,Natural Health Trends Corp. - Commn Stock,50427269.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
OLPX,"Olaplex Holdings, Inc.",973938365.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Neutral,2025-11-05,2025-08-07,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
WALD,Waldencast plc,194512648.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Buy,2025-11-11,2025-08-18,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
COTY,Coty Inc.,3218768537.0,USD,Consumer non-durables,Household/Personal care,NYSE,Neutral,2025-11-11,2025-08-20,"S&P MidCap 400, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
GROV,"Grove Collaborative Holdings, Inc.",62749703.0,USD,Consumer non-durables,Household/Personal care,NYSE,Strong buy,2025-11-06,2025-08-07,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
NITO,"N2OFF, Inc.",7271697.0,USD,Consumer non-durables,Household/Personal care,NASDAQ,Neutral,,2025-08-14,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
EL,"Estee Lauder Companies, Inc. (The)",32325270861.0,USD,Consumer non-durables,Household/Personal care,NYSE,Neutral,2025-10-31,2025-08-20,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
PTNM,Pitanium Limited,,,Consumer non-durables,Household/Personal care,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
PHH,"Park Ha Biological Technology Co., Ltd.",14057556.799,USD,Consumer non-durables,Household/Personal care,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Golden Dragon China, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Household/Personal care,ticker_universe_industry_Household_Personal_care,simple_universe_generator,2025-09-21T00:11:25.367382
