ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AAPL,weekly,2025-07-21,Long,239.6900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,213.6375,12.1947,42,190.0252,201.8314,195.9283,True,212890100,35.0000,1.7780,0.8392,12.1947
ABNB,weekly,2025-08-04,Short,123.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,121.0200,2.3054,28,152.5968,136.8084,144.7026,False,20983700,25.0000,8.0800,-6.2587,2.3054
ADBE,weekly,2025-07-28,Short,348.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,347.8000,0.3364,35,410.0950,378.9475,394.5213,False,16844700,25.0000,23.2300,-6.2610,0.3364
ADI,weekly,2025-05-12,Long,246.0967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,226.0807,8.8535,112,165.5850,195.8328,180.7089,True,11881000,33.8535,4.2208,1.9025,8.8535
ADP,weekly,2025-09-01,Short,295.9700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,295.9700,0.0000,0,323.3071,309.6385,316.4728,False,6724100,40.0000,5.6700,-1.8797,0.0000
ADSK,weekly,2025-05-12,Long,326.3700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,298.0800,9.4907,112,249.5674,273.8237,261.6955,True,7662300,34.4907,2.1300,0.7197,9.4907
AEP,weekly,2025-02-10,Long,108.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,99.1767,9.0075,203,87.8641,93.5204,90.6922,True,13841000,34.0075,2.0161,2.0750,9.0075
AMAT,weekly,2025-08-11,Short,162.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,161.7600,0.6120,21,212.6340,187.1970,199.9155,False,28298400,25.0000,25.3900,-13.5667,0.6120
AMD,weekly,2025-06-16,Long,151.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,128.2400,17.8571,77,92.7854,110.5127,101.6490,True,179476700,35.0000,9.6000,8.0917,17.8571
AMGN,weekly,2025-07-21,Long,283.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,306.5800,-7.4825,42,261.5528,284.0664,272.8096,True,9473700,20.0000,11.8300,4.0136,-7.4825
