ticker,screen_type,price,volume,score,signal_date,days_since_signal,analysis_date,screener,glb_level,breakout_high,signal_strength,bars_since_pivot,confirmed
IWM,drwish_glb,237.77,190629711,73.55,2025-09-01,15,2025-09-16,DrWish GLB,231.46,239.68,3.55,3,True
XLC,drwish_glb,114.69,32618537,72.55,2025-09-01,15,2025-09-16,DrWish GLB,112.22,115.08,2.55,3,True
IWM,drwish_glb,237.77,190629711,72.4,2025-08-29,18,2025-09-16,DrWish GLB,231.46,237.02,2.4,2,True
XLY,drwish_glb,235.11,57585512,72.08,2025-08-18,29,2025-09-16,DrWish GLB,227.34,232.06,2.08,3,True
XLF,drwish_glb,53.07,224589343,72.05,2025-09-01,15,2025-09-16,DrWish GLB,53.16,54.25,2.05,3,True
XLB,drwish_glb,91.96,32911462,71.86,2025-08-29,18,2025-09-16,DrWish GLB,91.02,92.71,1.86,2,True
XLF,drwish_glb,53.07,224589343,71.84,2025-08-29,18,2025-09-16,DrWish GLB,53.16,54.14,1.84,2,True
MAGS,drwish_glb,61.21,14266294,71.23,2025-09-01,15,2025-09-16,DrWish GLB,60.96,61.71,1.23,3,True
SPY,drwish_glb,647.24,387441927,70.93,2025-09-01,15,2025-09-16,DrWish GLB,646.19,652.21,0.93,3,True
XLI,drwish_glb,150.93,65542174,70.49,2025-08-29,18,2025-09-16,DrWish GLB,152.57,153.31,0.49,2,True
SPY,drwish_glb,647.24,387441927,70.25,2025-08-29,18,2025-09-16,DrWish GLB,646.19,647.83,0.25,2,True
XLV,drwish_glb,137.9,67014995,70.12,2025-09-01,15,2025-09-16,DrWish GLB,138.21,138.38,0.12,2,True
