ticker,date,timeframe,current_price,data_points,daily_ema10,daily_ema10slope,daily_ema20,daily_ema20slope,daily_sma10,daily_sma10slope,daily_price2_sma10pct,daily_sma20,daily_sma20slope,daily_price2_sma20pct,daily_sma50,daily_sma50slope,daily_price2_sma50pct,daily_sma200,daily_sma200slope,daily_price2_sma200pct,daily_sma250,daily_sma250slope,daily_price2_sma250pct,daily_sma350,daily_sma350slope,daily_price2_sma350pct,daily_rsi_14,daily_price_position_52w,daily_macd,daily_macd_signal,daily_macd_histogram,atr,atr_pct,sma50,atrext_dollar,atrext_percent,atr_percentile_100,daily_daily_daily_1d_pct_change,daily_5period_pct_change,daily_10period_pct_change,daily_daily_daily_3d_pct_change,daily_daily_daily_5d_pct_change,daily_daily_weekly_7d_pct_change,daily_daily_weekly_14d_pct_change,daily_daily_monthly_22d_pct_change,daily_daily_monthly_44d_pct_change,daily_daily_quarterly_66d_pct_change,daily_daily_quarterly_132d_pct_change,daily_daily_yearly_252d_pct_change,daily_momentum_20,daily_quarter_pct_change,daily_half_year_pct_change,daily_year_pct_change,daily_avg_volume_20,daily_volume_trend,obv,obv_trend,daily_ATH,daily_ATL,daily_is_new_ATH,daily_is_new_ATL,daily_distance_from_ATH_pct,daily_distance_from_ATL_pct,daily_ATH_ATL_position_pct,daily_candle_strength,daily_candle_strength_pct,daily_body_ratio,daily_upper_wick_ratio,daily_lower_wick_ratio,daily_oppression_factor,daily_candle_type,daily_is_bullish,total_range,body_size,daily_wick_dominance,directional_strength,daily_avg_candle_strength_5,daily_avg_candle_strength_5_pct,trend_days_10_pct,daily_priceabovesma10,daily_priceaboveema20,daily_priceabovesma50,daily_sma10vssma20,daily_sma20vssma50,daily_sma50vssma200,daily_perfectbullishalignment,daily_at_20day_high,daily_at_20day_low,daily_5day_low_vs_30day_high,SP500,NASDAQ100,Russell1000,Russell3000,SP100,NASDAQComposite,DowJonesIndustrialAverage,SP500CommunicationServices,SP500ConsumerDiscretionary,SP500ConsumerStaples,SP500Energy,SP500Financials,SP500HealthCare,SP500Industrials,SP500InformationTechnology,SP500Utilities
NVDA,2025-09-05,daily,167.0200,421,173.7403,-1.1837,175.2326,-0.6040,175.5600,-0.6844,-4.8644,177.7805,-0.3791,-6.0527,172.3190,0.4742,-3.0751,139.2083,0.1202,19.9785,137.3974,0.2368,21.5598,129.7549,0.2378,28.7196,29.1525,0.8184,-0.4603,1.4836,-1.9440,5.0008,2.9941,172.3190,-1.0596,-1.0270,0.7100,-0.6011,-4.1107,-6.1633,-2.1099,-4.1107,-8.0286,-8.2358,-6.9112,5.5485,18.2776,39.0320,57.3042,-6.2828,16.9362,39.7403,57.3042,178309840.0000,-0.0130,12253777300,-66868895.0000,183.1600,47.5478,False,False,-8.8120,251.2673,88.0984,0.1626,16.2600,0.2036,0.2016,0.5948,0.2016,Weak Body,False,4.9600,1.0100,0.7964,0.2036,0.2646,26.4600,33.3333,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False
MSFT,2025-09-05,daily,495.0000,421,505.3972,-0.7831,508.4535,-0.6309,505.0040,-0.7374,-1.9810,511.1575,-1.1315,-3.1610,509.7134,0.3764,-2.8866,443.2383,0.4168,11.6781,438.5148,0.3801,12.8810,433.6368,0.2378,14.1508,25.8214,0.7764,-2.4620,-0.7129,-1.7492,8.3628,1.6895,509.7134,-1.7594,-1.7086,0.4900,-2.7639,-2.3071,-2.4111,-2.0481,-2.3071,-2.3168,-4.2738,-5.7035,-0.5465,6.9184,26.3365,21.7652,-3.6688,4.7353,27.5814,21.7652,21291690.0000,-0.0815,328016200,-7477350.0000,535.6400,353.9103,False,False,-7.5872,39.8660,77.6371,0.6116,61.1600,0.7179,0.1480,0.1342,0.1480,Strong Body,False,19.6000,14.0700,0.2821,0.7179,0.4009,40.0900,44.4444,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False
AAPL,2025-09-05,daily,239.6900,421,233.8977,1.0503,229.5542,0.8967,232.7080,0.7170,3.0003,231.1530,1.3905,3.6932,218.2656,0.7200,9.8157,220.9197,0.0550,8.4965,221.9215,0.0482,8.0067,216.8265,0.1877,10.5446,64.1906,0.7861,5.6349,5.1295,0.5054,4.4444,1.8542,218.2656,4.8206,5.2938,0.2600,-0.1292,3.2523,5.2380,0.5116,3.2523,3.9915,3.8113,12.5262,14.2948,18.0509,1.2544,9.0358,2.4105,20.7174,12.2788,9.0358,50417710.0000,0.2789,1188588400,-4146960.0000,258.1037,163.8236,False,False,-7.1342,46.3098,80.4691,0.0584,5.8400,0.1095,0.4664,0.4240,0.4664,Weak Body,False,2.8300,0.3100,0.8905,0.1095,0.1017,10.1700,55.5556,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,False
GOOGL,2025-09-05,daily,235.0000,421,219.1274,2.7100,211.1697,1.8914,216.3060,2.2836,8.6424,209.0880,1.5077,12.3929,195.0010,1.1185,20.5122,179.1778,0.2306,31.1547,176.2625,0.2639,33.3239,174.5301,0.1955,34.6473,83.7457,1.0000,9.3227,6.7649,2.5578,5.5756,2.3726,195.0010,7.1740,8.6455,0.7900,1.2059,10.3753,14.0279,1.8816,10.3753,13.2639,15.4791,19.8429,32.9261,41.5841,39.7955,50.9354,11.0383,32.5063,43.2129,50.9354,36033710.0000,0.8455,1690371200,13891540.0000,235.0000,130.6166,True,False,0.0000,79.9158,100.0000,0.6690,66.9000,0.7254,0.1969,0.0777,0.0777,Strong Body,True,3.8600,2.8000,0.2746,0.7254,0.4405,44.0500,77.7778,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False
GOOG,2025-09-05,daily,235.1700,421,219.6641,2.6622,211.8276,1.8608,216.8860,2.2390,8.4302,209.8045,1.4923,12.0901,195.8306,1.1100,20.0885,180.6265,0.2246,30.1968,177.7004,0.2598,32.3407,176.0151,0.1927,33.6078,83.4734,1.0000,9.1900,6.6862,2.5038,5.4937,2.3360,195.8306,7.1609,8.5994,0.7300,1.0788,10.1344,13.7626,1.7611,10.1344,12.9485,15.1158,19.4241,32.4454,40.3927,38.4883,49.7364,10.8127,31.5342,41.3536,49.7364,23169415.0000,0.7099,1285608800,9086330.0000,235.1700,131.7767,True,False,0.0000,78.4610,100.0000,0.6194,61.9400,0.6693,0.2560,0.0747,0.0747,Moderate Body,True,3.7500,2.5100,0.3307,0.6693,0.4359,43.5900,77.7778,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False
AMZN,2025-09-05,daily,232.3300,421,229.5166,0.2952,228.0044,0.2612,229.4550,0.2410,1.2530,227.5920,0.6275,2.0818,225.5150,0.3716,3.0220,213.2080,0.0988,8.9687,208.6740,0.2162,11.3363,201.1660,0.1236,15.4917,51.5701,0.8698,1.9117,1.5502,0.3615,4.9285,2.1213,225.5150,1.3828,1.4246,0.2800,-1.2160,1.4541,1.5251,2.8054,1.4541,1.4010,0.3629,4.5072,3.9647,12.9405,11.3011,34.0391,2.4389,8.9728,18.6932,34.0391,34728270.0000,0.3507,941483500,7625835.0000,242.0600,144.5700,False,False,-4.0197,60.7041,90.0195,0.5629,56.2900,0.7027,0.1990,0.0983,0.1990,Strong Body,False,4.0700,2.8600,0.2973,0.7027,0.4777,47.7700,55.5556,True,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False
META,2025-09-05,daily,752.4500,421,747.8516,-1.2952,749.0274,-0.7525,747.2640,-1.5788,0.6940,757.5460,-1.1170,-0.6727,738.5154,0.8577,1.8868,650.2289,0.8046,15.7208,633.2988,0.9119,18.8144,592.4660,0.6470,27.0031,34.8100,0.8772,1.2509,4.2413,-2.9905,16.3220,2.1692,738.5154,0.8537,0.8698,0.2600,-0.0226,1.8614,-0.3100,2.0894,1.8614,0.6784,-1.9443,-2.5311,4.7470,12.9233,14.5021,47.2533,-4.5125,8.4837,24.4882,47.2533,9868045.0000,0.1571,389292000,-449315.0000,790.0000,342.5905,False,False,-4.7532,119.6354,91.6072,0.0077,0.7700,0.0132,0.4125,0.5743,0.4125,Doji,False,12.9200,0.1700,0.9868,0.0132,0.2079,20.7900,55.5556,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False
AVGO,2025-09-05,daily,334.8900,421,307.1021,1.4487,302.5102,0.9091,303.4150,1.0246,10.3736,303.1975,0.5429,10.4528,291.4376,1.0246,14.9097,228.9800,0.6634,46.2530,217.3467,0.6147,54.0811,197.4393,0.5010,69.6167,66.8835,1.0000,5.8238,4.2711,1.5526,12.2135,3.6470,291.4376,3.5577,4.0882,0.9800,-5.8716,12.6097,13.9082,10.7477,12.6097,11.5371,9.5271,11.0120,22.1424,30.6904,70.2194,119.7680,-0.1952,32.7264,73.1075,119.7680,21545850.0000,0.8862,1276009500,6166915.0000,334.8900,102.9523,True,False,0.0000,225.2867,100.0000,0.8194,81.9400,0.8383,0.0225,0.1392,0.0225,Strong Body,False,24.9200,20.8900,0.1617,0.8383,0.4521,45.2100,88.8889,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,False,False,False,False,False,False,True,False
TSLA,2025-09-05,daily,350.8400,421,339.4854,-0.1092,335.7021,0.3284,342.0550,0.9530,2.5683,337.2035,1.2390,4.0440,324.0736,0.1031,8.2594,330.2063,0.0456,6.2487,314.1842,0.4849,11.6670,281.1289,0.4682,24.7969,60.6737,0.5206,4.9829,4.8238,0.1592,12.4413,3.5461,324.0736,2.1514,2.3291,0.0800,0.8161,5.0828,3.1852,5.0136,5.0828,0.3547,4.6784,9.6683,19.3577,1.9084,24.4334,59.9015,0.1312,7.4779,47.4056,59.9015,77383175.0000,0.0196,1840007200,2985670.0000,479.8600,142.0500,False,False,-26.8870,146.9834,61.8069,0.1785,17.8500,0.2538,0.4495,0.2967,0.2967,Weak Body,True,11.1900,2.8400,0.7462,0.2538,0.2282,22.8200,55.5556,True,True,True,True,True,False,False,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,False,False
NFLX,2025-09-05,daily,1243.8199,421,1228.9911,1.8657,1221.9449,1.3356,1225.3600,0.6316,1.5065,1223.1045,3.1353,1.6937,1227.9226,-0.4470,1.2947,1062.4616,2.0621,17.0696,996.4900,2.1739,24.8201,894.8160,1.7332,39.0029,51.4789,0.8585,6.8232,3.1767,3.6465,27.5420,2.2143,1227.9226,0.5772,0.5847,0.3000,-1.2841,2.9439,3.2516,1.4386,2.9439,1.6608,-0.1020,5.5444,-3.5514,2.1249,29.1516,83.0008,0.9788,1.9625,30.9257,83.0008,2659955.0000,0.1604,174106700,336960.0000,1339.1300,468.5000,False,False,-7.1173,165.4899,89.0527,0.4305,43.0500,0.5762,0.2528,0.1709,0.2528,Moderate Body,False,28.0800,16.1801,0.4238,0.5762,0.6474,64.7400,66.6667,True,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False
