date,timeframe,universe_config,user_choice,universes_analyzed,ad_thrust,advance_decline_ratio,advancing_stocks,bearish_momentum_10d,bearish_momentum_20d,bearish_momentum_5d,breadth_deterioration,breadth_rating,breadth_thrust,bullish_momentum_10d,bullish_momentum_20d,bullish_momentum_5d,combined_advance_decline_ratio,combined_pct_above_ma20,combined_pct_above_ma200,combined_pct_above_ma50,consecutive_bearish_days,consecutive_bullish_days,declining_stocks,highs_lows_ratio_20d,highs_lows_ratio_52w,market_participation,net_20day_highs,net_52week_highs,net_advances,net_momentum_10d,net_momentum_20d,net_momentum_5d,net_signal_score,new_20day_highs,new_20day_lows,new_52week_highs,new_52week_lows,new_highs_expansion,new_lows_expansion,overall_breadth_score,pct_advancing,pct_at_20day_highs,pct_at_52week_highs,pct_declining,signal_strength,total_bearish_signals,total_bullish_signals,total_stocks,total_stocks_analyzed,unchanged_stocks,univ_1_advancing_stocks,univ_1_breadth_momentum,univ_1_name,univ_1_pct_above_ma20,univ_1_pct_above_ma200,univ_1_pct_above_ma50,univ_1_pct_advancing,univ_1_total_members,universes_included
2024-01-02,daily,SP500,2-5,SP500,0,0.0,0.0,,,,1,Very Poor,0,,,,,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,Weak Signal,1,0,69.0,69.0,0.0,0,Very Weak,SP500,0.0,0.0,0.0,0.0,46,SP500;NASDAQ100
2024-01-03,daily,SP500,2-5,SP500,0,0.5681818181818182,25.0,,,1.0,1,Very Poor,0,,,0.0,0.565,0.0,0.0,0.0,2,0,44.0,0.0,0.0,100.0,0.0,0.0,-19.0,,,-1.0,-1,0.0,0.0,0.0,0.0,0,0,0.0,36.231884057971016,0.0,0.0,63.76811594202898,Weak Signal,1,0,69.0,69.0,0.0,18,Very Weak,SP500,0.0,0.0,0.0,39.13,46,SP500;NASDAQ100
2024-01-04,daily,SP500,2-5,SP500,0,0.9714285714285714,34.0,,,1.0,1,Very Poor,0,,,0.0,0.97,0.0,0.0,0.0,3,0,35.0,0.0,0.0,100.0,0.0,0.0,-1.0,,,-1.0,-1,0.0,0.0,0.0,0.0,0,0,0.0,49.275362318840585,0.0,0.0,50.72463768115942,Weak Signal,1,0,69.0,69.0,0.0,24,Very Weak,SP500,0.0,0.0,0.0,52.17,46,SP500;NASDAQ100
2024-01-05,daily,SP500,2-5,SP500,0,1.0294117647058822,35.0,,,1.0,1,Very Poor,0,,,0.0,1.0325,0.0,0.0,0.0,4,0,34.0,0.0,0.0,100.0,0.0,0.0,1.0,,,-1.0,-1,0.0,0.0,0.0,0.0,0,0,0.0,50.72463768115942,0.0,0.0,49.275362318840585,Weak Signal,1,0,69.0,69.0,0.0,25,Very Weak,SP500,0.0,0.0,0.0,54.35,46,SP500;NASDAQ100
2024-01-08,daily,SP500,2-5,SP500,1,8.857142857142858,62.0,1.0,,1.0,1,Very Poor,0,0.2,,0.2,,0.0,0.0,0.0,0,0,7.0,0.0,0.0,100.0,0.0,0.0,55.0,-0.8,,-0.8,0,0.0,0.0,0.0,0.0,0,0,0.0,89.85507246376811,0.0,0.0,10.144927536231885,Weak Signal,1,1,69.0,69.0,0.0,39,Very Weak,SP500,0.0,0.0,0.0,84.78,46,SP500;NASDAQ100
2024-01-09,daily,SP500,2-5,SP500,0,0.9166666666666666,33.0,1.0,,1.0,1,Very Poor,0,0.17,,0.2,0.9199999999999999,0.0,0.0,0.0,1,0,36.0,0.0,0.0,100.0,0.0,0.0,-3.0,-0.83,,-0.8,-1,0.0,0.0,0.0,0.0,0,0,0.0,47.82608695652174,0.0,0.0,52.17391304347826,Weak Signal,1,0,69.0,69.0,0.0,22,Very Weak,SP500,0.0,0.0,0.0,47.83,46,SP500;NASDAQ100
2024-01-10,daily,SP500,2-5,SP500,1,2.1363636363636362,47.0,1.0,,1.0,1,Very Poor,0,0.29,,0.4,2.13625,0.0,0.0,0.0,0,0,22.0,0.0,0.0,100.0,0.0,0.0,25.0,-0.71,,-0.6,0,0.0,0.0,0.0,0.0,0,0,0.0,68.11594202898551,0.0,0.0,31.88405797101449,Weak Signal,1,1,69.0,69.0,0.0,32,Very Weak,SP500,0.0,0.0,0.0,69.57,46,SP500;NASDAQ100
2024-01-11,daily,SP500,2-5,SP500,0,0.8157894736842105,31.0,1.0,,1.0,1,Very Poor,0,0.25,,0.4,0.82625,0.0,0.0,0.0,1,0,38.0,0.0,0.0,100.0,0.0,0.0,-7.0,-0.75,,-0.6,-1,0.0,0.0,0.0,0.0,0,0,0.0,44.927536231884055,0.0,0.0,55.072463768115945,Weak Signal,1,0,69.0,69.0,0.0,20,Very Weak,SP500,0.0,0.0,0.0,43.48,46,SP500;NASDAQ100
2024-01-12,daily,SP500,2-5,SP500,1,2.1363636363636362,47.0,1.0,,1.0,1,Very Poor,0,0.33,,0.6,2.1725,0.0,0.0,0.0,0,0,22.0,0.0,0.0,100.0,0.0,0.0,25.0,-0.67,,-0.4,0,0.0,0.0,0.0,0.0,0,0,0.0,68.11594202898551,0.0,0.0,31.88405797101449,Weak Signal,1,1,69.0,69.0,0.0,33,Very Weak,SP500,0.0,0.0,0.0,71.74,46,SP500;NASDAQ100
2024-01-16,daily,SP500,2-5,SP500,0,0.4375,21.0,0.9,0.9,0.8,0,Poor,0,0.3,0.3,0.4,0.44249999999999995,66.85125,0.0,0.0,0,0,48.0,1.1666666666666667,0.0,100.0,2.0,0.0,-27.0,-0.6,-0.6,-0.4,0,14.0,12.0,0.0,0.0,0,0,20.055374999999998,30.434782608695656,20.28985507246377,0.0,69.56521739130434,Neutral,0,0,69.0,69.0,0.0,13,Weak,SP500,65.22,0.0,0.0,28.26,46,SP500;NASDAQ100
