Date,Internet software/Services,Packaged software,Semiconductors
2024-01-02 00:00:00-05:00,213.7796,323.2441,96.0800
2024-01-03 00:00:00-05:00,213.9618,322.9460,94.3167
2024-01-04 00:00:00-05:00,213.3150,320.6595,94.2621
2024-01-05 00:00:00-05:00,214.0566,320.4709,95.2634
2024-01-08 00:00:00-05:00,218.6230,326.5704,99.0701
2024-01-09 00:00:00-05:00,219.4945,327.4900,99.7611
2024-01-10 00:00:00-05:00,223.3978,333.6060,100.5739
2024-01-11 00:00:00-05:00,224.0584,335.2357,101.3026
2024-01-12 00:00:00-05:00,225.6575,338.5703,101.1236
2024-01-16 00:00:00-05:00,223.0034,340.0676,102.6317
2024-01-17 00:00:00-05:00,222.4286,339.3813,102.4413
2024-01-18 00:00:00-05:00,226.1232,343.2534,105.6714
2024-01-19 00:00:00-05:00,229.7859,347.3607,109.9189
2024-01-22 00:00:00-05:00,229.3380,345.6506,110.3880
2024-01-23 00:00:00-05:00,231.3366,347.7419,111.1996
2024-01-24 00:00:00-05:00,237.5395,350.7984,116.2486
2024-01-25 00:00:00-05:00,241.5362,352.7959,116.9677
2024-01-26 00:00:00-05:00,242.5272,351.9828,115.7663
2024-01-29 00:00:00-05:00,245.4422,357.1340,117.6557
2024-01-30 00:00:00-05:00,243.0036,355.9745,116.6893
2024-01-31 00:00:00-05:00,232.9912,346.3572,115.2221
2024-02-01 00:00:00-05:00,235.0663,351.7273,117.4938
2024-02-02 00:00:00-05:00,255.8790,358.3970,120.4316
2024-02-05 00:00:00-05:00,252.6527,353.5453,123.2988
2024-02-06 00:00:00-05:00,251.3331,353.8879,122.1439
2024-02-07 00:00:00-05:00,256.2503,361.4971,125.0668
2024-02-08 00:00:00-05:00,256.6057,361.5878,125.1523
2024-02-09 00:00:00-05:00,258.3658,367.1310,128.3930
2024-02-12 00:00:00-05:00,257.3295,362.6483,127.2135
2024-02-13 00:00:00-05:00,253.2773,354.7882,125.6165
2024-02-14 00:00:00-05:00,258.8777,358.3242,128.3594
2024-02-15 00:00:00-05:00,260.4546,356.2407,127.7918
2024-02-16 00:00:00-05:00,255.5876,354.0417,127.1094
2024-02-20 00:00:00-05:00,254.9206,352.7554,123.3703
2024-02-21 00:00:00-05:00,255.0092,352.0977,121.9372
2024-02-22 00:00:00-05:00,261.6738,360.4565,133.7426
2024-02-23 00:00:00-05:00,260.7433,359.2523,132.7148
2024-02-26 00:00:00-05:00,256.1102,356.9416,133.8336
2024-02-27 00:00:00-05:00,259.3323,357.0373,133.1391
2024-02-28 00:00:00-05:00,256.4651,357.1378,132.1118
2024-02-29 00:00:00-05:00,259.9529,362.3829,134.5662
2024-03-01 00:00:00-05:00,263.1775,364.0733,141.0532
2024-03-04 00:00:00-05:00,259.3152,363.4775,143.6269
2024-03-05 00:00:00-05:00,255.7098,352.8058,141.4447
2024-03-06 00:00:00-05:00,256.3066,352.5929,145.3826
2024-03-07 00:00:00-05:00,263.0483,358.7413,151.4035
2024-03-08 00:00:00-05:00,261.9047,356.1856,143.2389
2024-03-11 00:00:00-04:00,257.6075,354.5270,139.9742
2024-03-12 00:00:00-04:00,262.9249,363.8197,145.2741
2024-03-13 00:00:00-04:00,262.5691,363.7643,142.7602
2024-03-14 00:00:00-04:00,264.1784,372.4739,140.1304
2024-03-15 00:00:00-04:00,260.3454,364.7731,138.7660
2024-03-18 00:00:00-04:00,268.7880,365.7839,139.2452
2024-03-19 00:00:00-04:00,268.3589,369.2862,139.9129
2024-03-20 00:00:00-04:00,272.3644,372.7675,142.3401
2024-03-21 00:00:00-04:00,271.8858,376.3943,145.4861
2024-03-22 00:00:00-04:00,274.7993,375.7962,147.0685
2024-03-25 00:00:00-04:00,272.6537,370.7886,147.3565
2024-03-26 00:00:00-04:00,271.3556,369.7194,144.9079
2024-03-27 00:00:00-04:00,269.8873,369.4123,143.3238
2024-03-28 00:00:00-04:00,267.4799,368.6773,143.4207
2024-04-01 00:00:00-04:00,272.3857,371.9924,145.1198
2024-04-02 00:00:00-04:00,273.3823,369.2930,142.8961
2024-04-03 00:00:00-04:00,277.1601,368.5513,143.8382
2024-04-04 00:00:00-04:00,274.3540,366.3048,138.9070
2024-04-05 00:00:00-04:00,281.1859,373.0334,142.1753
2024-04-08 00:00:00-04:00,280.1159,372.3533,141.6865
2024-04-09 00:00:00-04:00,280.0626,373.7418,140.8445
2024-04-10 00:00:00-04:00,280.5170,371.0871,140.7928
2024-04-11 00:00:00-04:00,284.2242,375.2361,145.4919
2024-04-12 00:00:00-04:00,279.8501,369.9039,141.3105
2024-04-15 00:00:00-04:00,273.8681,362.5339,138.6662
2024-04-16 00:00:00-04:00,274.2105,363.3786,141.0797
2024-04-17 00:00:00-04:00,273.1784,360.9040,134.2647
2024-04-18 00:00:00-04:00,275.2705,354.2618,133.3462
2024-04-19 00:00:00-04:00,264.8928,349.6700,124.7442
2024-04-22 00:00:00-04:00,266.5125,351.3458,128.0973
2024-04-23 00:00:00-04:00,273.1057,357.2492,132.0600
2024-04-24 00:00:00-04:00,271.5481,358.4789,129.9957
2024-04-25 00:00:00-04:00,256.8975,349.8011,133.3042
2024-04-26 00:00:00-04:00,267.7656,356.3441,138.8114
2024-04-29 00:00:00-04:00,261.0478,352.8192,138.5097
2024-04-30 00:00:00-04:00,257.5814,341.4727,134.9780
2024-05-01 00:00:00-04:00,260.6190,346.3096,130.0103
2024-05-02 00:00:00-04:00,264.0884,348.9589,133.0497
2024-05-03 00:00:00-04:00,268.0765,356.7571,137.4444
