signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-03-18,0,36.62049102783203,36.62049102783203,14.136034474425859,35.75290168762207
2,2024-03-20,1,36.91494369506836,36.91494369506836,15.469510515016347,35.86085121154785
3,2024-03-27,2,36.1591796875,36.1591796875,18.454984740902027,36.09834747314453
4,2024-04-05,3,35.62915802001953,35.62915802001953,18.02563161395234,36.342465209960935
5,2024-08-06,4,33.35444259643555,33.35444259643555,8.614215199164926,33.05415256500244
6,2024-08-23,5,33.186981201171875,33.186981201171875,19.402899827811613,33.187376441955564
7,2024-09-09,6,33.37393569946289,33.37393569946289,4.368940145360365,33.41328979492187
8,2024-10-22,7,33.46290588378906,33.46290588378906,18.387193605022293,33.599660568237304
9,2024-10-30,8,33.15645217895508,33.15645217895508,12.23888825008549,33.597092895507814
10,2024-11-21,9,34.93586730957031,34.93586730957031,6.274519125838228,34.03825080871582
11,2025-06-23,10,32.41999816894531,32.41999816894531,17.60009765625,30.033082580566408
12,2025-07-17,11,34.5,34.5,17.90106740951273,31.89799816131592
