signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-03-18,0,624.6077880859375,624.6077880859375,8.965450370774773,634.2777197265625
2,2024-07-12,1,637.832763671875,637.832763671875,13.31810384356199,618.4127966308594
3,2024-08-08,2,622.104248046875,622.104248046875,18.686082112698486,617.0611645507812
4,2024-08-27,3,622.3029174804688,622.3029174804688,10.43797973390922,634.3819104003907
5,2024-08-30,4,626.2176513671875,626.2176513671875,19.260658262094505,635.2632165527343
6,2024-11-20,5,647.5105590820312,647.5105590820312,14.287386663457474,631.0243933105469
7,2024-12-04,6,651.5313720703125,651.5313720703125,17.430693168229144,631.0123046875
8,2024-12-20,7,640.3348388671875,640.3348388671875,0.5563063414554266,640.6162585449218
9,2025-01-03,8,627.2373046875,627.2373046875,5.835331043788945,644.0600268554688
10,2025-01-08,9,623.0771484375,623.0771484375,9.468578469143496,645.0827465820313
11,2025-01-14,10,621.870849609375,621.870849609375,7.4088757911818455,645.215029296875
12,2025-06-20,11,760.1114501953125,760.1114501953125,19.28919395919646,676.0024475097656
13,2025-07-14,12,752.75,752.75,9.558704797968366,727.1219287109375
14,2025-07-17,13,755.3699951171875,755.3699951171875,18.64570923797186,734.4727307128907
15,2025-08-06,14,779.469970703125,779.469970703125,17.98041961824002,768.0080554199219
