signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,328.8599853515625,328.8599853515625,0.0,,325.5001732350309
2,2024-01-09,1,330.5599975585937,330.5599975585937,0.0,,326.55633051505686
3,2024-01-10,2,364.4500122070313,364.4500122070313,0.0,,333.63230380908897
4,2024-01-12,3,363.7099914550781,363.7099914550781,0.0,,342.49559859316184
5,2024-01-18,4,371.9299926757813,371.9299926757813,0.0,,350.5971157162987
6,2024-03-12,5,389.3999938964844,389.3999938964844,5.712017193003193,385.8433339436849,386.57470965690743
7,2024-03-15,6,396.2799987792969,396.2799987792969,21.713569339143756,386.6513336181641,387.00353609473007
8,2024-04-09,7,390.9599914550781,390.9599914550781,1.1933895613920087,390.0986653645833,389.18953292308703
9,2024-07-19,8,455.010009765625,455.010009765625,0.9569435152441939,434.3056660970052,435.1781217594635
10,2024-07-22,9,461.1199951171875,461.1199951171875,0.9569435152441939,435.7379994710287,437.5364780422498
11,2024-09-09,10,479.3900146484375,479.3900146484375,20.808033858471532,469.8366689046224,475.9587423937271
12,2024-09-10,11,484.239990234375,484.239990234375,20.808033858471532,471.1893351236979,476.7115831537605
13,2024-09-11,12,490.9299926757813,490.9299926757813,20.808033858471532,473.1306681315104,478.00416591132654
14,2024-09-30,13,491.2699890136719,491.2699890136719,3.9506817040823328,485.1026682535807,484.0602343184816
15,2024-10-02,14,486.6199951171875,486.6199951171875,3.9506817040823328,485.3030019124349,484.3507725311869
16,2024-10-09,15,490.3800048828125,490.3800048828125,4.428511858764443,484.5710032145182,483.1617266130412
17,2024-10-18,16,521.1500244140625,521.1500244140625,17.885065266307652,485.5870025634766,485.423887707991
18,2024-12-11,17,543.5999755859375,543.5999755859375,24.699130963541005,534.0276662190755,538.1779846745343
19,2024-12-12,18,544.719970703125,544.719970703125,24.699130963541005,535.0593312581381,538.7727106772027
20,2024-12-24,19,537.02001953125,537.02001953125,1.5234609641023351,539.0919942220052,535.3652683246337
21,2024-12-26,20,538.8300170898438,538.8300170898438,22.070623120205607,539.1506612141927,535.6802454851229
22,2025-01-03,21,535.2899780273438,535.2899780273438,18.639237267452387,538.1693298339844,533.005826496795
23,2025-01-06,22,542.3699951171875,542.3699951171875,18.639237267452387,538.1876627604166,533.8571145532179
24,2025-02-03,23,578.5499877929688,578.5499877929688,16.2013776665917,556.0139994303386,569.6923274704674
25,2025-02-04,24,579.6500244140625,579.6500244140625,16.2013776665917,557.7866678873698,570.5975726471619
26,2025-02-05,25,590.9000244140625,590.9000244140625,16.2013776665917,560.0196695963542,572.4432500805241
27,2025-04-09,26,522.9500122070312,522.9500122070312,0.8014846903320855,506.56333211263023,499.1549324185606
