signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,193.4723663330078,193.4723663330078,0.0,,192.16017713632823
2,2024-01-22,1,193.2854919433593,193.2854919433593,19.230734962984233,,190.24039629963062
3,2024-02-08,2,192.90196228027344,192.90196228027344,20.107043219943083,,191.33317909598287
4,2024-03-15,3,199.058334350586,199.058334350586,18.164031049737957,197.78607126871745,199.52978882502413
5,2024-03-19,4,198.75344848632807,198.75344848632807,10.546801654956292,198.34335276285807,199.32477349055074
6,2024-03-20,5,202.6872100830078,202.6872100830078,10.546801654956292,198.75082499186198,199.6320749695286
7,2024-03-21,6,205.01600646972656,205.01600646972656,10.546801654956292,199.25067545572918,200.12388817156904
8,2024-04-08,7,202.6793365478516,202.6793365478516,6.459042743741591,201.8557902018229,202.058135836677
9,2024-04-09,8,203.4779357910156,203.4779357910156,6.459042743741591,202.04441579182944,202.18740662026195
10,2024-05-24,9,202.55116271972656,202.55116271972656,11.320691712744603,198.59327494303386,201.70572114511157
11,2024-05-30,10,201.1807098388672,201.1807098388672,4.380553259836264,199.49705149332684,201.50092619553226
12,2024-05-31,11,202.8765106201172,202.8765106201172,4.380553259836264,199.92199096679687,201.62598495988783
13,2024-06-05,12,202.176498413086,202.176498413086,4.545550200678427,200.7314442952474,201.47776880030088
14,2024-06-12,13,201.41603088378903,201.41603088378903,7.558187504742694,201.51325276692708,200.77423403129
15,2024-08-15,14,209.6419219970703,209.6419219970703,24.741673323987065,210.36071370442707,207.97977872721708
16,2024-09-12,15,209.216796875,209.216796875,8.752517906426775,209.1884541829427,210.04007605380835
17,2024-09-13,16,214.3777618408203,214.3777618408203,16.589897770499608,209.19669342041016,210.43441114394838
18,2024-10-04,17,217.410873413086,217.410873413086,13.779406854035777,214.69172210693358,215.57301718133152
19,2024-10-08,18,215.8533477783203,215.8533477783203,13.779406854035777,214.54883677164713,215.6093705109227
20,2024-10-28,19,220.69461059570312,220.69461059570312,15.510116608536975,218.5722457885742,218.78237139905247
21,2024-11-05,20,222.45057678222656,222.45057678222656,4.037153997121526,218.6536066691081,218.89951942011
22,2024-11-06,21,235.3374938964844,235.3374938964844,19.35093176528846,219.299441019694,220.3938807380278
23,2024-12-11,22,235.8831329345703,235.8831329345703,1.0914304915211166,232.48463592529296,234.51680049512655
24,2025-01-15,23,222.92198181152344,222.92198181152344,12.816225317438763,226.42746073404948,222.68178516590737
25,2025-01-16,24,223.3697509765625,223.3697509765625,24.848463792872124,225.87873433430988,222.74432751233144
26,2025-06-18,25,209.6499938964844,209.6499938964844,23.81478086245977,207.08005116780598,208.0599915731578
27,2025-06-23,26,211.7700042724609,211.7700042724609,20.343540628095035,207.86268870035804,208.49230802852495
28,2025-06-24,27,214.47000122070312,214.47000122070312,20.343540628095035,208.336479695638,209.0357346823593
29,2025-08-05,28,220.8500061035156,220.8500061035156,6.513338283182012,220.60733286539713,220.45687106931334
