signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-05-30,0,247.5573883056641,247.5573883056641,7.9080899626446355,233.48443786621092
2,2024-07-26,1,278.34893798828125,278.34893798828125,5.820496231407351,264.3715496826172
3,2024-08-02,2,265.1159973144531,265.1159973144531,12.796226288423853,266.49053436279297
4,2024-08-08,3,263.06793212890625,263.06793212890625,9.207758260698004,267.4108184814453
5,2024-08-13,4,264.1018981933594,264.1018981933594,16.147569047160577,268.2889849853516
6,2024-10-22,5,266.42633056640625,266.42633056640625,15.85709230236103,267.54944763183596
7,2024-12-09,6,283.6710510253906,283.6710510253906,17.217376416546028,276.516079711914
8,2024-12-20,7,276.0333557128906,276.0333557128906,10.376357470332222,278.66349975585933
9,2025-01-03,8,275.4551086425781,275.4551086425781,2.098456574376127,279.98985900878904
10,2025-01-07,9,272.70330810546875,272.70330810546875,11.512583633089022,280.30265441894534
11,2025-01-13,10,274.64752197265625,274.64752197265625,1.8018107953155047,280.98942932128904
12,2025-03-13,11,288.6356201171875,288.6356201171875,9.287171440255857,286.2856652832031
13,2025-03-17,12,290.59283447265625,290.59283447265625,18.086631049350096,286.870361328125
14,2025-03-25,13,287.3475036621094,287.3475036621094,13.555575617096865,288.50775756835935
15,2025-04-09,14,288.9252014160156,288.9252014160156,6.672948404627163,291.60974060058595
16,2025-06-12,15,313.4599914550781,313.4599914550781,17.413288301190693,301.7941418457031
17,2025-06-23,16,308.4100036621094,308.4100036621094,14.48566056653928,304.1150646972656
18,2025-06-27,17,308.6600036621094,308.6600036621094,19.64287104483964,305.35014709472654
19,2025-07-03,18,304.0599975585937,304.0599975585937,1.2353427798982894,306.7318701171875
20,2025-07-14,19,305.6199951171875,305.6199951171875,7.984680292481435,308.42000366210937
21,2025-07-16,20,301.4800109863281,301.4800109863281,5.602226034463447,308.70107421875
