ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,filter_applied,universe_name,generation_source,generation_date
CACC,Credit Acceptance Corporation,5862800556.0,USD,Finance,Finance/Rental/Leasing,NASDAQ,Neutral,2025-11-03,2025-07-31,"NASDAQ Composite, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
NUKK,Nukkleus Inc.,41021783.0,USD,Commercial services,Advertising/Marketing services,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
DHIL,"Diamond Hill Investment Group, Inc.",406048538.0,USD,Finance,Investment managers,NASDAQ,Neutral,,,"NASDAQ Composite, Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
WRLD,World Acceptance Corporation,947893830.0,USD,Finance,Finance/Rental/Leasing,NASDAQ,Neutral,2025-10-23,2025-07-24,"NASDAQ Composite, Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
LPLA,LPL Financial Holdings Inc.,29385506648.0,USD,Finance,Investment banks/Brokers,NASDAQ,Buy,2025-10-23,2025-07-31,"NASDAQ Composite, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services, KBW NASDAQ Financial Technology Index",True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
MKTW,"MarketWise, Inc.",301729148.0,USD,Technology services,Data processing services,NASDAQ,Neutral,2025-11-06,2025-08-07,"NASDAQ Composite, Russell 2000, Mini-Russell 2000, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
COIN,"Coinbase Global, Inc.",79260283536.0,USD,Finance,Investment banks/Brokers,NASDAQ,Buy,2025-10-30,2025-07-31,"S&P 500, NASDAQ Composite, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, NASDAQ Real Estate and Other Financial Services, KBW NASDAQ Financial Technology Index, NASDAQ CB Insights Metaverse US Index",True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
CME,CME Group Inc.,97882856138.0,USD,Finance,Investment banks/Brokers,NASDAQ,Neutral,2025-10-22,2025-07-23,"S&P 500, NASDAQ Composite, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG, NASDAQ Real Estate and Other Financial Services, KBW NASDAQ Financial Technology Index",True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
EQIX,"Equinix, Inc.",76509081240.0,USD,Finance,Real estate investment trusts,NASDAQ,Strong buy,2025-10-29,2025-07-30,"S&P 500, NASDAQ Composite, S&P 500 Real Estate, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ Real Estate and Other Financial Services",True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
MORN,"Morningstar, Inc.",10978443834.0,USD,Finance,Investment managers,NASDAQ,Buy,2025-10-22,2025-07-30,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Real Estate and Other Financial Services",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,NASDAQRealEstateandOtherFinancialServices,ticker_universe_NASDAQRealEstateandOtherFinancialServices,simple_universe_generator,2025-09-17T23:34:05.797175
