ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
BRK-A,Berkshire Hathaway Inc.,1061245650144.0,USD,Finance,Property/Casualty insurance,NYSE,Buy,2025-11-03,2025-08-02,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
NVR,"NVR, Inc.",23154272277.0,USD,Consumer durables,Homebuilding,NYSE,Neutral,2025-10-28,2025-07-23,"S&P 500, S&P 500 Consumer Discretionary, Russell 3000, Russell 1000",False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
MKL,Markel Group Inc.,24602701646.0,USD,Finance,Property/Casualty insurance,NYSE,Neutral,2025-11-04,2025-07-30,"Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
GHC,Graham Holdings Company,4756096325.0,USD,Consumer services,Other consumer services,NYSE,Sell,2025-10-29,2025-07-30,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
AZO,"AutoZone, Inc.",69928867050.0,USD,Retail trade,Specialty stores,NYSE,Buy,2025-09-23,2025-05-27,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
WTM,"White Mountains Insurance Group, Ltd.",4727197109.0,USD,Finance,Multi-line insurance,NYSE,Neutral,2025-11-10,2025-08-07,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
BH-A,Biglari Holdings Inc.,966207942.0,USD,Consumer services,Restaurants,NYSE,Neutral,2025-10-31,,Nasdaq US Small Cap Growth,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
NEU,NewMarket Corp,7642365600.0,USD,Process industries,Chemicals: specialty,NYSE,Neutral,2025-10-27,2025-07-30,"S&P MidCap 400, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
GS,"Goldman Sachs Group, Inc. (The)",226722971431.0,USD,Finance,Investment banks/Brokers,NYSE,Buy,2025-10-14,2025-07-16,"S&P 500, Dow Jones Industrial Average, S&P 100, KBW NASDAQ Bank, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
BLK,"BlackRock, Inc.",185999212190.0,USD,Finance,Investment managers,NYSE,Buy,2025-10-10,2025-07-15,"S&P 500, S&P 100, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,exchange=NYSE,ticker_universe_exchange_NYSE,simple_universe_generator,2025-09-20T22:11:34.425642
