ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
CETX,Cemtrex Inc.,7154511.0,USD,Electronic technology,Electronic equipment/Instruments,NASDAQ,Neutral,2025-12-18,2025-08-14,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
PH,Parker-Hannifin Corporation,96474796963.0,USD,Electronic technology,Electronic equipment/Instruments,NYSE,Buy,2025-11-06,2025-08-07,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
NVMI,Nova Ltd.,7642636517.0,USD,Electronic technology,Electronic equipment/Instruments,NASDAQ,Strong buy,2025-10-30,2025-08-07,"NASDAQ Composite, NASDAQ Computer",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
ITRI,"Itron, Inc.",5671766738.0,USD,Electronic technology,Electronic equipment/Instruments,NASDAQ,Strong buy,2025-10-30,2025-07-31,"NASDAQ Composite, Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, NASDAQ Industrials, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
EMR,Emerson Electric Company,75049381807.0,USD,Electronic technology,Electronic equipment/Instruments,NYSE,Buy,2025-11-11,2025-08-06,"S&P 500, S&P 500 Industrials, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
SXI,Standex International Corporation,2537714140.0,USD,Electronic technology,Electronic equipment/Instruments,NYSE,Strong buy,2025-10-30,2025-07-31,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
ESE,ESCO Technologies Inc.,5029616085.0,USD,Electronic technology,Electronic equipment/Instruments,NYSE,Strong buy,2025-11-13,2025-08-07,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
ONTO,Onto Innovation Inc.,5335998768.0,USD,Electronic technology,Electronic equipment/Instruments,NYSE,Buy,2025-11-05,2025-08-07,"PHLX Semiconductor Sector, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
NXT,Nextracker Inc.,10147369608.0,USD,Electronic technology,Electronic equipment/Instruments,NASDAQ,Buy,2025-10-22,2025-07-29,"NASDAQ Composite, Russell 2000, S&P MidCap 400, Russell 3000, NASDAQ Industrials, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",True,False,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
KEYS,Keysight Technologies Inc.,28292974766.0,USD,Electronic technology,Electronic equipment/Instruments,NYSE,Buy,2025-11-24,2025-08-19,"S&P 500, S&P 500 Information Technology, Russell 3000, Russell 1000, S&P 500 ESG",False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Electronic equipment/Instruments,ticker_universe_industry_Electronic_equipment_Instruments,simple_universe_generator,2025-09-20T22:11:34.031965
