date,timeframe,daily_mb_total_stocks,daily_mb_advancing_stocks,daily_mb_declining_stocks,daily_mb_unchanged_stocks,daily_mb_net_advances,daily_mb_ad_ratio,daily_mb_ad_line,daily_mb_advance_pct,daily_mb_decline_pct,daily_mb_avg_pct_change,daily_mb_pct_change_volatility,daily_mb_long_new_highs,daily_mb_long_new_lows,daily_mb_total_stocks_hl_long,daily_mb_net_long_new_highs,daily_mb_hl_ratio_long,daily_mb_long_new_highs_pct,daily_mb_long_new_lows_pct,daily_mb_net_hl_line_long,daily_mb_medium_new_highs,daily_mb_medium_new_lows,daily_mb_total_stocks_hl_medium,daily_mb_net_medium_new_highs,daily_mb_hl_ratio_medium,daily_mb_medium_new_highs_pct,daily_mb_medium_new_lows_pct,daily_mb_net_hl_line_medium,daily_mb_short_new_highs,daily_mb_short_new_lows,daily_mb_total_stocks_hl_short,daily_mb_net_short_new_highs,daily_mb_hl_ratio_short,daily_mb_short_new_highs_pct,daily_mb_short_new_lows_pct,daily_mb_net_hl_line_short,daily_mb_stocks_above_ma_20,daily_mb_total_stocks_ma_20,daily_mb_pct_above_ma_20,daily_mb_stocks_above_ma_50,daily_mb_total_stocks_ma_50,daily_mb_pct_above_ma_50,daily_mb_stocks_above_ma_200,daily_mb_total_stocks_ma_200,daily_mb_pct_above_ma_200,daily_mb_long_new_highs_gt_100,daily_mb_long_success_condition,daily_mb_medium_new_highs_gt_100,daily_mb_medium_success_condition,daily_mb_short_new_highs_gt_100,daily_mb_short_success_condition,daily_mb_ad_ratio_gt_2_0,daily_mb_ad_ratio_lt_0_5,daily_mb_strong_advance_breadth,daily_mb_weak_advance_breadth,daily_mb_strong_ma_breadth_20,daily_mb_weak_ma_breadth_20,daily_mb_strong_ma_breadth_50,daily_mb_weak_ma_breadth_50,daily_mb_strong_ma_breadth_200,daily_mb_weak_ma_breadth_200,daily_mb_timeframe,daily_mb_universe,daily_mb_hl_periods,daily_mb_ma_periods,daily_mb_bullish_momentum_5d,daily_mb_bearish_momentum_5d,daily_mb_net_momentum_5d,daily_mb_bullish_momentum_10d,daily_mb_bearish_momentum_10d,daily_mb_net_momentum_10d,daily_mb_bullish_momentum_20d,daily_mb_bearish_momentum_20d,daily_mb_net_momentum_20d,daily_mb_breadth_thrust,daily_mb_breadth_deterioration,daily_mb_ad_thrust,daily_mb_new_highs_expansion,daily_mb_new_lows_expansion,daily_mb_total_bullish_signals,daily_mb_total_bearish_signals,daily_mb_net_signal_score,daily_mb_overall_breadth_score,daily_mb_breadth_rating,daily_mb_signal_strength,daily_mb_threshold_classification,daily_mb_market_participation,daily_mb_consecutive_bullish_days,daily_mb_consecutive_bearish_days
2020-01-02,daily,489,0,0,0,0,,0,0.00,0.00,0.00,0.00,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,,,,,,,,,,0,1,0,0,0,0,5,-5,0.00,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),0.00,0.00,1.00
2020-01-03,daily,489,146,342,1,-196,0.43,-196,29.86,69.94,-0.47,1.35,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.00,4.00,-4.00,,,,,,,0,1,0,0,0,0,5,-5,5.97,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),29.86,0.00,2.00
2020-01-06,daily,489,267,219,3,48,1.22,-148,54.60,44.79,0.14,1.20,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.00,3.67,-3.67,,,,,,,0,1,0,0,0,0,4,-4,10.92,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),54.60,0.00,3.00
2020-01-07,daily,489,196,289,4,-93,0.68,-241,40.08,59.10,-0.06,1.71,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.00,3.50,-3.50,,,,,,,0,1,0,0,0,0,4,-4,8.02,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),40.08,0.00,4.00
2020-01-08,daily,489,344,144,1,200,2.39,-41,70.35,29.45,0.34,1.29,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,183,82,489,101,2.23,37.42,16.77,101,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.20,3.40,-3.20,0.20,3.40,-3.20,,,,0,1,1,0,0,2,4,-2,14.07,Very Poor,Strong Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),70.35,0.00,5.00
2020-01-09,daily,489,373,113,3,260,3.30,219,76.28,23.11,0.54,0.96,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,203,56,489,147,3.62,41.51,11.45,248,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.40,3.20,-2.80,0.33,3.33,-3.00,,,,0,1,1,0,0,2,4,-2,15.26,Very Poor,Strong Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),76.28,0.00,6.00
2020-01-10,daily,489,194,294,1,-100,0.66,119,39.67,60.12,-0.22,1.15,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,161,44,489,117,3.66,32.92,9.00,365,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.40,3.00,-2.60,0.29,3.29,-3.00,,,,0,1,0,0,0,0,4,-4,7.93,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),39.67,0.00,7.00
2020-01-13,daily,489,384,103,2,281,3.73,400,78.53,21.06,0.79,1.30,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,182,47,489,135,3.87,37.22,9.61,500,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,3.00,-2.40,0.38,3.25,-2.88,,,,0,1,1,0,0,2,4,-2,15.71,Very Poor,Strong Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),78.53,0.00,8.00
2020-01-14,daily,489,247,239,3,8,1.03,408,50.51,48.88,0.07,1.24,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,162,32,489,130,5.06,33.13,6.54,630,0,489,0.00,0,489,0.00,0,489,0.00,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,3.00,-2.40,0.33,3.22,-2.89,,,,0,1,0,0,0,0,4,-4,10.10,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),50.51,0.00,9.00
2020-01-15,daily,489,304,181,4,123,1.68,531,62.17,37.01,0.24,1.30,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,194,41,489,153,4.73,39.67,8.38,783,344,489,70.35,0,489,0.00,0,489,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.40,2.80,-2.40,0.30,3.10,-2.80,0.30,3.10,-2.80,0,0,0,0,0,0,2,-2,33.54,Poor,Moderate Bearish,Breadth Deterioration (Bearish),62.17,0.00,10.00
2020-01-16,daily,489,426,61,2,365,6.98,896,87.12,12.47,0.94,1.05,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,237,12,489,225,19.75,48.47,2.45,1008,413,489,84.46,0,489,0.00,0,489,0.00,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,2.60,-2.00,0.50,2.90,-2.40,0.45,3.00,-2.55,0,0,1,0,0,2,2,0,42.76,Fair,Weak Signal (Bearish),Breadth Thrust (Bullish); Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),87.12,0.00,0.00
2020-01-17,daily,489,307,174,8,133,1.76,1029,62.78,35.58,0.23,1.11,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,255,12,489,243,21.25,52.15,2.45,1251,410,489,83.84,0,489,0.00,0,489,0.00,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.80,2.40,-1.60,0.60,2.70,-2.10,0.50,2.92,-2.42,0,0,0,0,0,0,2,-2,37.71,Poor,Moderate Bearish,Breadth Thrust (Bullish); Breadth Deterioration (Bearish),62.78,0.00,1.00
2020-01-21,daily,489,219,268,2,-49,0.82,980,44.79,54.81,-0.37,1.52,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,177,48,489,129,3.69,36.20,9.82,1380,358,489,73.21,0,489,0.00,0,489,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,2.20,-1.60,0.60,2.60,-2.00,0.46,2.85,-2.38,0,0,0,0,0,0,2,-2,30.92,Poor,Moderate Bearish,Breadth Deterioration (Bearish),44.79,0.00,2.00
2020-01-22,daily,489,247,238,4,9,1.04,989,50.51,48.67,-0.01,1.21,0,0,489,0,,0.00,0.00,0,0,0,489,0,,0.00,0.00,0,213,43,489,170,4.95,43.56,8.79,1550,342,489,69.94,0,489,0.00,0,489,0.00,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,2.00,-1.40,0.60,2.50,-1.90,0.43,2.79,-2.36,0,0,0,0,0,0,2,-2,31.08,Poor,Moderate Bearish,Breadth Deterioration (Bearish),50.51,0.00,3.00
2020-01-23,daily,489,301,184,4,117,1.64,1106,61.55,37.63,0.26,1.40,0,0,489,0,,0.00,0.00,0,102,86,489,16,1.19,20.86,17.59,16,102,86,489,16,1.19,20.86,17.59,1566,343,489,70.14,0,489,0.00,0,489,0.00,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,2.00,-1.40,0.50,2.40,-1.90,0.40,2.73,-2.33,0,0,0,0,0,0,2,-2,33.35,Poor,Moderate Bearish,Breadth Deterioration (Bearish),61.55,0.00,4.00
2020-01-24,daily,489,89,397,3,-308,0.22,798,18.20,81.19,-0.95,1.40,0,0,489,0,,0.00,0.00,0,147,81,489,66,1.81,30.06,16.56,82,147,81,489,66,1.81,30.06,16.56,1632,279,489,57.06,0,489,0.00,0,489,0.00,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.20,2.20,-2.00,0.40,2.40,-2.00,0.38,2.75,-2.38,0,1,0,0,0,0,4,-4,20.76,Poor,Strong Bearish,Breadth Deterioration (Bearish),18.20,0.00,5.00
2020-01-27,daily,489,57,428,4,-371,0.13,427,11.66,87.53,-1.49,1.64,0,0,489,0,,0.00,0.00,0,38,172,489,-134,0.22,7.77,35.17,-52,38,172,489,-134,0.22,7.77,35.17,1498,213,489,43.56,0,489,0.00,0,489,0.00,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.00,2.40,-2.40,0.40,2.40,-2.00,0.35,2.76,-2.41,0,1,0,0,0,0,4,-4,15.40,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),11.66,0.00,6.00
2020-01-28,daily,489,405,78,6,327,5.19,754,82.82,15.95,0.95,1.25,0,0,489,0,,0.00,0.00,0,51,38,489,13,1.34,10.43,7.77,-39,51,38,489,13,1.34,10.43,7.77,1511,266,489,54.40,0,489,0.00,0,489,0.00,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.20,2.40,-2.20,0.40,2.30,-1.90,0.39,2.72,-2.33,0,1,1,0,0,2,3,-1,32.88,Poor,Moderate Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),82.82,0.00,7.00
2020-01-29,daily,489,204,279,6,-75,0.73,679,41.72,57.06,-0.25,1.57,0,0,489,0,,0.00,0.00,0,77,51,489,26,1.51,15.75,10.43,-13,77,51,489,26,1.51,15.75,10.43,1537,243,489,49.69,0,489,0.00,0,489,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.20,2.40,-2.20,0.40,2.20,-1.80,0.37,2.68,-2.32,0,1,0,0,0,0,3,-3,23.25,Poor,Moderate Bearish,Breadth Deterioration (Bearish),41.72,0.00,8.00
2020-01-30,daily,489,292,192,5,100,1.52,779,59.71,39.26,0.27,1.82,0,0,489,0,,0.00,0.00,0,73,136,489,-63,0.54,14.93,27.81,-76,73,136,489,-63,0.54,14.93,27.81,1474,261,489,53.37,0,489,0.00,0,489,0.00,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.20,2.40,-2.20,0.40,2.20,-1.80,0.35,2.65,-2.30,0,1,0,0,0,0,3,-3,27.95,Poor,Moderate Bearish,Breadth Deterioration (Bearish),59.71,0.00,9.00
2020-01-31,daily,489,38,450,1,-412,0.08,367,7.77,92.02,-1.81,1.84,0,0,489,0,,0.00,0.00,0,57,131,489,-74,0.44,11.66,26.79,-150,57,131,489,-74,0.44,11.66,26.79,1400,167,489,34.15,0,489,0.00,0,489,0.00,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.20,2.40,-2.20,0.20,2.30,-2.10,0.35,2.60,-2.25,0,1,0,0,0,0,4,-4,11.80,Very Poor,Strong Bearish,Breadth Deterioration (Bearish),7.77,0.00,10.00
2020-02-03,daily,489,366,120,3,246,3.05,613,74.85,24.54,0.73,1.92,0,0,489,0,,0.00,0.00,0,47,43,489,4,1.09,9.61,8.79,-146,48,45,489,3,1.07,9.82,9.20,1403,213,489,43.56,0,489,0.00,0,489,0.00,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.40,2.20,-1.80,0.20,2.30,-2.10,0.40,2.50,-2.10,0,1,1,0,0,2,3,-1,28.04,Poor,Moderate Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),74.85,0.00,11.00
2020-02-04,daily,489,404,83,2,321,4.87,934,82.62,16.97,1.53,2.05,0,0,489,0,,0.00,0.00,0,120,19,489,101,6.32,24.54,3.89,-45,123,21,489,102,5.86,25.15,4.29,1505,269,489,55.01,0,489,0.00,0,489,0.00,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.40,2.20,-1.80,0.30,2.30,-2.00,0.45,2.45,-2.00,0,1,1,0,0,2,3,-1,33.03,Poor,Moderate Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),82.62,0.00,12.00
2020-02-05,daily,489,374,112,3,262,3.34,1196,76.48,22.90,1.11,2.34,0,0,489,0,,0.00,0.00,0,115,8,489,107,14.38,23.52,1.64,62,121,11,489,110,11.00,24.74,2.25,1615,333,489,68.10,0,489,0.00,0,489,0.00,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,daily,SP500,252;63;20,20;50;200,0.60,2.20,-1.60,0.40,2.30,-1.90,0.50,2.40,-1.90,0,0,1,0,0,2,2,0,35.73,Poor,Moderate Bearish,Advance/Decline Thrust (Bullish); Breadth Deterioration (Bearish),76.48,0.00,0.00
2020-02-06,daily,489,245,240,4,5,1.02,1201,50.10,49.08,-0.05,1.90,0,0,489,0,,0.00,0.00,0,101,12,489,89,8.42,20.65,2.45,151,107,14,489,93,7.64,21.88,2.86,1708,319,489,65.24,324,489,66.26,0,489,0.00,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,daily,SP500,252;63;20,20;50;200,0.60,2.00,-1.40,0.40,2.20,-1.80,0.45,2.30,-1.85,0,0,0,0,0,0,1,-1,46.16,Fair,Weak Signal (Bearish),Breadth Deterioration (Bearish),50.10,0.00,1.00
