Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2000-01-01 00:00:00-05:00,,136.2659,80.7494,20.0573,29.0215,
2000-02-01 00:00:00-05:00,,213.6346,73.6682,29.8130,25.3590,
2000-03-01 00:00:00-05:00,,126.2386,85.3071,31.3438,26.2814,
2000-04-01 00:00:00-05:00,,117.6890,83.6851,32.0967,31.9763,
2000-05-01 00:00:00-04:00,,114.3114,89.0834,28.8594,32.3458,
2000-06-01 00:00:00-04:00,,149.0376,84.4726,33.7529,41.0672,
2000-07-01 00:00:00-04:00,,133.9966,98.3155,30.1894,41.4546,
2000-08-01 00:00:00-04:00,,167.9312,108.7976,36.5134,31.7272,
2000-09-01 00:00:00-04:00,,171.0449,101.5647,31.6199,34.5644,
2000-10-01 00:00:00-04:00,,111.4615,98.3347,26.5005,36.9673,
2000-11-01 00:00:00-05:00,,73.1994,92.0717,21.2807,39.0867,
2000-12-01 00:00:00-05:00,,62.6443,95.6300,23.3385,39.5055,
2001-01-01 00:00:00-05:00,,62.0638,105.4709,23.3887,33.8603,
2001-02-01 00:00:00-05:00,,40.2676,93.3026,15.2578,34.4797,
2001-03-01 00:00:00-05:00,,29.9236,87.1789,11.7485,32.7462,
2001-04-01 00:00:00-05:00,,43.3011,94.5498,12.9772,36.2589,
2001-05-01 00:00:00-04:00,,47.7089,98.7489,12.2866,36.2107,
2001-06-01 00:00:00-04:00,,50.6728,101.9727,15.2578,33.2477,
2001-07-01 00:00:00-04:00,,46.1130,98.1317,14.5190,35.7337,
2001-08-01 00:00:00-04:00,,34.6628,90.1635,9.8052,34.9378,
2001-09-01 00:00:00-04:00,,35.3806,80.7039,10.1023,36.5669,
2001-10-01 00:00:00-04:00,,32.6869,89.5605,10.8893,35.7337,
2001-11-01 00:00:00-05:00,,31.5470,94.1116,11.2667,37.7567,
2001-12-01 00:00:00-05:00,,32.1212,99.1586,11.0900,36.7407,
2002-01-01 00:00:00-05:00,,26.0584,93.9670,13.8605,35.3302,
2002-02-01 00:00:00-05:00,,20.0377,90.6917,13.3466,36.2051,
2002-03-01 00:00:00-05:00,,22.7990,98.9979,10.2790,37.3002,
2002-04-01 00:00:00-05:00,,7.8108,89.0735,8.0626,33.8409,
2002-05-01 00:00:00-04:00,,8.1738,89.5082,6.3601,32.9088,
2002-06-01 00:00:00-04:00,,6.0713,81.0509,7.6048,28.5658,
2002-07-01 00:00:00-04:00,,5.4042,71.3388,8.0385,29.2822,
2002-08-01 00:00:00-04:00,,6.0628,70.6601,7.7012,29.5059,
2002-09-01 00:00:00-04:00,,4.2642,68.0746,6.3119,28.7254,
2002-10-01 00:00:00-04:00,,6.7975,83.0683,8.1830,29.7157,
2002-11-01 00:00:00-05:00,,8.8747,87.1022,9.7570,33.4978,
2002-12-01 00:00:00-05:00,,6.7721,80.0415,8.6729,31.4245,
2003-01-01 00:00:00-05:00,,6.9663,78.6794,9.6606,30.3471,
2003-02-01 00:00:00-05:00,,6.5104,76.9695,9.6044,28.9198,
2003-03-01 00:00:00-05:00,,7.3801,78.5995,8.7130,30.3564,
2003-04-01 00:00:00-05:00,,10.4791,89.2735,9.5402,32.2256,
2003-05-01 00:00:00-04:00,,12.6492,92.6612,10.4476,30.4979,
2003-06-01 00:00:00-04:00,,11.6444,97.4201,9.6446,33.1245,
2003-07-01 00:00:00-04:00,,11.2813,102.0827,9.6285,32.1167,
2003-08-01 00:00:00-04:00,,12.6492,99.2926,10.3031,31.8934,
