signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,251.6100006103516,251.6100006103516,0.0,,247.92288558641795
2,2024-01-11,1,249.5399932861328,249.5399932861328,0.0,,248.53417719808837
3,2024-01-12,2,250.69000244140625,250.69000244140625,0.0,,248.87448506845183
4,2024-01-17,3,250.509994506836,250.509994506836,0.0,,249.17917641313448
5,2024-01-18,4,254.1000061035156,254.1000061035156,0.0,,249.835719393502
6,2024-02-01,5,252.6999969482422,252.6999969482422,4.667071612592032,,252.24892490836334
7,2024-02-02,6,256.989990234375,256.989990234375,4.667071612592032,,252.7341161062496
8,2024-02-05,7,257.4700012207031,257.4700012207031,4.667071612592032,,253.21330060994163
9,2024-03-15,8,307.6499938964844,307.6499938964844,17.913637526029298,286.42800089518227,298.08080136653166
10,2024-03-18,9,308.45001220703125,308.45001220703125,16.177152661785755,288.1433349609375,299.02952886128355
11,2024-03-19,10,312.1300048828125,312.1300048828125,16.177152661785755,289.9653350830078,300.22745107992563
12,2024-03-20,11,314.2799987792969,314.2799987792969,16.177152661785755,291.79266866048175,301.5117485150388
13,2024-04-05,12,309.8999938964844,309.8999938964844,11.96227833395975,308.0956675211589,308.30765147111555
14,2024-04-08,13,311.2099914550781,311.2099914550781,11.96227833395975,309.4483337402344,308.57194598932165
15,2024-04-09,14,311.2699890136719,311.2699890136719,11.96227833395975,310.7710001627604,308.8175990018027
16,2024-04-25,15,306.239990234375,306.239990234375,6.360286573767076,308.8443318684896,304.7234668835631
17,2024-07-12,16,292.6600036621094,292.6600036621094,23.437473562451068,290.5066691080729,293.6767264291157
18,2024-07-15,17,308.6400146484375,308.6400146484375,23.437473562451068,291.40366923014324,295.0370292219551
19,2024-07-16,18,319.42999267578125,319.42999267578125,23.437473562451068,292.66233520507814,297.2545770802419
20,2024-08-07,19,349.239990234375,349.239990234375,13.8387453802888,303.5936676025391,305.72266071344586
21,2024-08-08,20,368.4599914550781,368.4599914550781,15.575949430291894,306.1130004882813,311.4260573309346
22,2024-08-27,21,363.4299926757813,363.4299926757813,11.495830440354233,337.1926666259766,352.63960086746783
23,2024-08-30,22,364.9700012207031,364.9700012207031,19.72429758107679,342.4433329264323,355.2712040761113
24,2024-09-04,23,355.3500061035156,355.3500061035156,2.6262370751242554,344.9166666666667,355.2691777797386
25,2024-09-09,24,364.3900146484375,364.3900146484375,20.68719116233767,349.56200052897134,356.0139501267315
26,2024-11-01,25,425.8399963378906,425.8399963378906,3.415659729557928,424.49399922688804,430.0652903418526
27,2024-11-04,26,431.5700073242188,431.5700073242188,3.415659729557928,425.7483327229818,430.2020827950036
28,2024-11-05,27,441.0899963378906,441.0899963378906,3.415659729557928,427.32933247884114,431.19189311845673
29,2024-11-06,28,459.5199890136719,459.5199890136719,10.551968750901613,429.47133178710936,433.76717456672264
30,2024-12-11,29,642.4500122070312,642.4500122070312,20.95550541750956,587.4633371988932,621.3980687514521
31,2024-12-13,30,644.9099731445312,644.9099731445312,7.9537958858089555,601.4240020751953,624.7761678613521
32,2024-12-16,31,649.2999877929688,649.2999877929688,7.9537958858089555,608.8726684570313,627.0056060371679
33,2024-12-20,32,631.6900024414062,631.6900024414062,6.9540667712301145,631.9446695963542,625.8127367456655
34,2024-12-24,33,631.25,631.25,12.953618642168944,633.1470031738281,626.1687919095311
35,2025-04-01,34,541.2000122070312,541.2000122070312,11.742676561745267,540.648671468099,552.2831471645643
36,2025-04-02,35,558.4199829101562,558.4199829101562,11.742676561745267,539.4820048014323,552.8410413232546
37,2025-04-09,36,559.8400268554688,559.8400268554688,11.78796784580808,538.7963389078776,541.0431861937436
38,2025-07-03,37,795.47998046875,795.47998046875,23.815488522732768,773.0483276367188,778.8886559957456
39,2025-07-07,38,802.1599731445312,802.1599731445312,23.815488522732768,775.274326578776,781.0042302819987
40,2025-08-18,39,791.6199951171875,791.6199951171875,13.823467231669643,765.6833292643229,778.6623841736307
41,2025-08-22,40,766.239990234375,766.239990234375,17.32349347593719,765.357997639974,773.5540861071847
42,2025-08-26,41,769.02001953125,769.02001953125,21.62991453914885,766.5716654459635,772.3126365361546
