signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-05,0,94.75,94.75,0.812933495266677,87.88899948120117
2,2024-04-11,1,92.79000091552734,92.79000091552734,13.0597379625913,88.5313996887207
3,2024-04-24,2,91.9499969482422,91.9499969482422,13.998083506451707,89.11879974365235
4,2024-05-15,3,88.4800033569336,88.4800033569336,7.806661400774589,90.94379989624024
5,2024-05-20,4,87.5199966430664,87.5199966430664,6.093130666506255,91.02399978637695
6,2024-05-22,5,87.19000244140625,87.19000244140625,13.754019937656246,91.02599990844726
7,2024-09-18,6,76.8499984741211,76.8499984741211,1.4613735477849241,76.09899948120118
8,2024-10-02,7,75.11000061035156,75.11000061035156,15.844615861836163,76.24419982910156
9,2025-03-14,8,78.7300033569336,78.7300033569336,15.195542727181284,75.22820022583008
10,2025-04-07,9,75.75,75.75,0.8130045280143195,77.32960021972656
11,2025-04-09,10,78.69999694824219,78.69999694824219,11.396689952646632,77.31700012207031
12,2025-05-14,11,75.69000244140625,75.69000244140625,16.402093441947958,78.14779983520508
13,2025-08-13,12,87.55999755859375,87.55999755859375,7.046634172566599,85.62600006103516
14,2025-09-04,13,89.0999984741211,89.0999984741211,12.28920358342418,88.42460021972656
