signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-05,0,388.3900146484375,388.3900146484375,1.1933895613920087,386.87620056152343
2,2024-07-19,1,455.010009765625,455.010009765625,6.594678246808861,419.6065997314453
3,2024-09-30,2,491.2699890136719,491.2699890136719,3.9506817040823328,473.00060058593755
4,2024-10-04,3,481.9500122070313,481.9500122070313,5.971018540436612,475.5210015869141
5,2024-10-08,4,480.7900085449219,480.7900085449219,4.428511858764443,476.8622021484376
6,2024-10-18,5,521.1500244140625,521.1500244140625,17.885065266307652,483.2632025146485
7,2024-12-20,6,524.4299926757812,524.4299926757812,1.5234609641023351,525.7689978027344
8,2025-01-02,7,524.030029296875,524.030029296875,18.639237267452387,531.1631994628906
9,2025-02-03,8,578.5499877929688,578.5499877929688,16.2013776665917,550.8663977050782
10,2025-02-28,9,573.1500244140625,573.1500244140625,14.315443693688495,567.2766003417969
11,2025-03-05,10,568.02001953125,568.02001953125,19.54679935449166,568.8634020996094
