signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2002-02-01,0,12.028757095336914,12.028757095336914,4.716996419627167,11.700477600097656
2,2003-10-01,1,12.157414436340332,12.157414436340332,15.808827654299028,11.568474451700846
3,2005-07-01,2,11.929489135742188,11.929489135742188,2.2284685506261592,11.775890032450357
4,2010-07-01,3,17.379573822021484,17.379573822021484,4.225160666360353,16.37550226847331
5,2014-08-01,4,29.50106811523437,29.50106811523437,1.204846963983272,29.004626592000324
6,2015-07-01,5,29.95194435119629,29.95194435119629,4.28016588598336,29.313688278198242
7,2020-11-01,6,44.698150634765625,44.698150634765625,19.41138107343065,42.91761016845703
8,2021-07-01,7,50.5819091796875,50.5819091796875,17.42134197272204,48.96231587727865
9,2021-12-01,8,53.32209014892578,53.32209014892578,1.0505418568355944,50.1889279683431
10,2025-09-05,9,67.95999908447266,67.95999908447266,13.594397136689333,68.30333201090495
