signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,485.0299987792969,485.0299987792969,0.0,,475.2162953846788
2,2024-01-11,1,492.2300109863281,492.2300109863281,0.0,,479.5658636988004
3,2024-01-18,2,485.30999755859375,485.30999755859375,0.0,,481.87198641265485
4,2024-02-09,3,561.3200073242188,561.3200073242188,16.462330686143797,,543.3725804119038
5,2024-02-14,4,579.3300170898438,579.3300170898438,16.27679922350053,525.2513326009115,548.9405038685329
6,2024-02-15,5,593.4600219726562,593.4600219726562,16.27679922350053,529.3579996744792,553.188949543634
7,2024-04-01,6,614.3099975585938,614.3099975585938,17.49997673964216,606.2543375651042,610.8784613087045
8,2024-04-03,7,630.0800170898438,630.0800170898438,17.49997673964216,609.0946716308594,612.9039364282652
9,2024-04-16,8,617.52001953125,617.52001953125,9.336831315044217,616.6120096842448,617.3950333624286
10,2024-05-06,9,596.969970703125,596.969970703125,12.228960301759262,597.5680053710937,582.570659299761
11,2024-06-05,10,650.27001953125,650.27001953125,13.700060857591621,610.7056640625,629.5487934005793
12,2024-09-04,11,679.6799926757812,679.6799926757812,10.689476130141705,655.285331217448,673.7451591522101
13,2024-09-05,12,683.6199951171875,683.6199951171875,10.689476130141705,656.872998046875,674.64287158765
14,2024-09-09,13,675.4199829101562,675.4199829101562,7.5301725466339535,659.3973307291667,673.9802244673886
15,2024-09-11,14,681.469970703125,681.469970703125,7.5301725466339535,662.9156616210937,674.6313395052896
16,2024-09-12,15,686.7999877929688,686.7999877929688,24.76393256785892,664.8639953613281,675.7375803160918
17,2024-09-13,16,697.0599975585938,697.0599975585938,24.76393256785892,667.27099609375,677.6759819749903
18,2024-10-08,17,721.760009765625,721.760009765625,19.042618730562655,697.8673299153646,703.781785857556
19,2024-10-09,18,727.4299926757812,727.4299926757812,19.042618730562655,698.9243306477864,705.9316228592629
20,2024-10-10,19,730.2899780273438,730.2899780273438,19.042618730562655,700.4726623535156,708.1460188007061
21,2024-10-18,20,763.8900146484375,763.8900146484375,14.07633634884277,707.0423299153646,712.0380755129369
22,2024-10-21,21,772.0700073242188,772.0700073242188,14.07633634884277,710.2639973958334,717.4955238810081
23,2024-12-19,22,902.0399780273438,902.0399780273438,5.4176301904487,880.3813273111979,893.7355761864442
24,2024-12-20,23,909.0499877929688,909.0499877929688,5.4176301904487,884.131660970052,895.1277954234923
25,2024-12-23,24,911.4500122070312,911.4500122070312,5.4176301904487,888.0119954427083,896.6116333129936
26,2025-02-26,25,990.0599975585938,990.0599975585938,4.986240015621091,975.9189982096354,995.1344502850034
27,2025-03-05,26,990.9199829101562,990.9199829101562,17.47664692245911,997.0529988606771,988.2905087198764
28,2025-04-09,27,945.469970703125,945.469970703125,1.3740178136832857,934.0693318684896,928.0390540926134
29,2025-05-13,28,1138.43994140625,1138.43994140625,21.190915633974445,1029.8793314615884,1087.3407301919217
30,2025-05-14,29,1150.989990234375,1150.989990234375,21.190915633974445,1037.2996643066406,1093.1270265594176
31,2025-05-15,30,1177.97998046875,1177.97998046875,21.190915633974445,1045.3816630045574,1100.840931460266
32,2025-07-09,31,1288.280029296875,1288.280029296875,23.57522093799283,1248.7103393554687,1265.1424266372974
33,2025-07-14,32,1261.949951171875,1261.949951171875,4.8139114457900885,1253.799336751302,1262.103280014874
34,2025-08-08,33,1211.6400146484375,1211.6400146484375,5.953333701291533,1227.9670003255208,1197.2737493004263
35,2025-08-25,34,1218.0699462890625,1218.0699462890625,20.318633448146777,1203.6609985351563,1211.1376285627332
36,2025-08-26,35,1226.0899658203125,1226.0899658203125,20.318633448146777,1202.5216634114583,1212.496931949786
