signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value
1,2024-04-22,0,63.18999862670898,63.18999862670898,10.569151077074178,62.26119964599609
2,2024-05-14,1,64.58000183105469,64.58000183105469,13.749672182176024,64.1635994720459
3,2024-09-10,2,68.8499984741211,68.8499984741211,17.886149613009913,64.6257999420166
4,2024-11-04,3,78.12999725341797,78.12999725341797,10.911618074926157,76.61880004882812
5,2024-12-20,4,87.12999725341797,87.12999725341797,18.90612986335616,84.5254997253418
6,2025-01-02,5,86.18000030517578,86.18000030517578,11.33331298828125,85.4102996826172
7,2025-01-13,6,83.98999786376953,83.98999786376953,14.267553685192654,86.04409973144531
8,2025-05-27,7,71.4800033569336,71.4800033569336,9.282595154205586,66.83510009765625
9,2025-06-20,8,70.05000305175781,70.05000305175781,13.48404656603877,68.73510040283203
10,2025-07-14,9,73.88999938964844,73.88999938964844,8.675794844758652,72.15500045776368
