signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-05,0,74.51000213623047,74.51000213623047,0.0,,73.44171775977331
2,2024-01-08,1,77.69000244140625,77.69000244140625,0.0,,74.46052393860391
3,2024-01-09,2,80.11000061035156,80.11000061035156,0.0,,75.63976170134934
4,2024-01-10,3,81.0999984741211,81.0999984741211,0.0,,76.65936412207184
5,2024-01-11,4,81.30000305175781,81.30000305175781,0.0,,77.45014594488495
6,2024-01-12,5,81.4000015258789,81.4000015258789,0.0,,78.07365053793004
7,2024-02-02,6,82.93000030517578,82.93000030517578,11.605439647089957,,80.29019204645557
8,2024-02-06,7,81.55999755859375,81.55999755859375,11.605439647089957,,80.5184125412553
9,2024-02-15,8,84.0,84.0,8.63492451016865,81.20500055948894,82.5683342457657
10,2024-04-01,9,78.19000244140625,78.19000244140625,23.114906844013234,77.18066635131837,78.04626011912632
11,2024-04-23,10,74.01000213623047,74.01000213623047,18.741422069109312,75.11166661580404,72.96270082371512
12,2024-07-16,11,69.72000122070312,69.72000122070312,23.232522337714926,64.80766626993815,65.54020247404632
13,2024-08-07,12,63.88999938964844,63.88999938964844,16.77794422631084,62.814999389648435,60.401989221453796
14,2024-08-08,13,68.55000305175781,68.55000305175781,24.535792008916477,62.91833292643229,61.14271812989888
15,2024-08-29,14,73.2699966430664,73.2699966430664,15.187311428291963,66.64466654459635,70.78142790322518
16,2024-08-30,15,74.06999969482422,74.06999969482422,15.187311428291963,67.00833320617676,71.08038900842739
17,2024-09-11,16,71.5199966430664,71.5199966430664,10.483148568010794,69.11999994913737,70.28054178611333
18,2024-10-04,17,82.43000030517578,82.43000030517578,21.614608685977228,75.14133275349936,77.0956048029561
19,2024-10-08,18,82.58000183105469,82.58000183105469,21.614608685977228,75.55299962361654,77.90529345003866
20,2024-10-29,19,80.38999938964844,80.38999938964844,4.830126669696585,80.60566711425781,80.34308081461838
21,2024-11-06,20,81.91999816894531,81.91999816894531,24.331812140943516,80.7663335164388,80.0358984385752
22,2024-11-07,21,85.55000305175781,85.55000305175781,24.331812140943516,80.92633361816407,80.53718067671173
23,2025-01-06,22,114.23999786376952,114.23999786376952,11.73153372408765,111.80666656494141,109.7861373835757
24,2025-03-21,23,104.20999908447266,104.20999908447266,24.127783932531457,109.2943333943685,102.98293309538685
25,2025-05-27,24,106.73999786376952,106.73999786376952,18.698585736850315,97.32966639200846,101.73750284361547
26,2025-05-28,25,107.11000061035156,107.11000061035156,18.698585736850315,98.14099985758463,102.22591173150057
27,2025-05-29,26,107.6999969482422,107.6999969482422,18.698585736850315,98.93399963378906,102.72355584211344
28,2025-06-16,27,108.37000274658205,108.37000274658205,17.38830411441879,105.17033309936524,106.43273506975329
29,2025-06-20,28,106.4000015258789,106.4000015258789,20.12624345469205,106.24333318074544,106.39882439263084
30,2025-06-23,29,109.9800033569336,109.9800033569336,13.700773873102113,106.7759999593099,106.72438611665837
31,2025-06-24,30,114.41999816894533,114.41999816894533,13.700773873102113,107.53100001017252,107.42398721232081
32,2025-07-14,31,116.73999786376952,116.73999786376952,11.111099035457318,110.82300033569337,112.46862896907665
33,2025-07-16,32,120.0,120.0,11.111099035457318,111.5326670328776,113.36663576384498
34,2025-08-04,33,125.20999908447266,125.20999908447266,19.865084358021075,118.7413330078125,120.77274502222133
35,2025-08-05,34,127.0,127.0,19.865084358021075,119.30866622924805,121.3388591111103
36,2025-08-06,35,154.89999389648438,154.89999389648438,19.865084358021075,120.65799942016602,124.38987136432613
37,2025-08-22,36,142.11000061035156,142.11000061035156,1.565988270875861,132.69466603597004,137.0277629968082
38,2025-08-26,37,140.85000610351562,140.85000610351562,10.393063621812253,134.3476661682129,137.6646806166319
