signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,171.20120239257812,171.20120239257812,0.0,,166.9875212442853
2,2024-01-09,1,171.65916442871094,171.65916442871094,0.0,,167.96265192934445
3,2024-01-10,2,171.81846618652344,171.81846618652344,0.0,,168.68265688775222
4,2024-01-11,3,172.7941436767578,172.7941436767578,0.0,,169.38326925314948
5,2024-01-16,4,174.92469787597656,174.92469787597656,0.0,,170.58020525605855
6,2024-01-18,5,179.5143585205078,179.5143585205078,0.0,,172.17115996277636
7,2024-03-18,6,217.3168029785156,217.3168029785156,8.229220865167862,210.0261205037435,215.0886250019185
8,2024-03-20,7,220.3135223388672,220.3135223388672,8.229220865167862,211.73189341227214,215.71156376890124
9,2024-03-21,8,225.3113708496093,225.3113708496093,10.12498060558585,212.71686096191405,216.58849020438055
10,2024-03-22,9,226.635498046875,226.635498046875,18.920959099355347,213.65304514567057,217.50586473144608
11,2024-04-05,10,221.6575622558593,221.6575622558593,2.2104338914812685,220.4635274251302,220.95305640920128
12,2024-04-08,11,222.07571411132807,222.07571411132807,2.2104338914812685,220.94273681640624,221.05528849714878
13,2024-04-09,12,223.1111297607422,223.1111297607422,2.2104338914812685,221.3990478515625,221.242469944971
14,2024-04-11,13,226.3069610595703,226.3069610595703,22.398555562134646,222.47129465738934,221.69744222492136
15,2024-06-25,14,260.6148986816406,260.6148986816406,19.410588135234097,247.9178446451823,254.75809812906587
16,2024-06-28,15,259.54962158203125,259.54962158203125,13.129061244921987,251.11135660807292,255.81399760309117
17,2024-07-01,16,259.8582763671875,259.8582763671875,13.129061244921987,252.06745300292968,256.18166177135816
18,2024-07-02,17,262.4667053222656,262.4667053222656,13.129061244921987,253.17521006266276,256.753032845779
19,2024-07-03,18,268.4302673339844,268.4302673339844,20.847298490975607,254.3241180419922,257.8146054933923
20,2024-07-05,19,268.5298156738281,268.5298156738281,22.375605389568815,255.48729604085287,258.78872041149293
21,2024-08-30,20,242.3856964111328,242.3856964111328,6.831947005065061,236.6255610148112,240.60908194461783
22,2024-09-11,21,232.37008666992188,232.37008666992188,3.8900787170493194,232.17196706136068,231.9148785743801
23,2024-09-12,22,232.8678741455078,232.8678741455078,17.981663607184572,231.73755849202473,232.00151453988522
24,2024-10-24,23,248.95657348632807,248.95657348632807,20.942630122437603,245.29380594889324,247.7195882564181
25,2024-10-25,24,251.84378051757807,251.84378051757807,20.942630122437603,245.82644500732422,248.09451482662755
26,2024-11-06,25,253.68560791015625,253.68560791015625,22.10530418888882,248.71929016113282,247.9668579863716
27,2024-11-07,26,259.8681945800781,259.8681945800781,22.10530418888882,248.99805450439453,249.04879767794844
28,2024-12-02,27,246.77622985839844,246.77622985839844,24.300185448005436,247.00554962158202,244.67526457190235
29,2024-12-03,28,247.3238067626953,247.3238067626953,24.300185448005436,246.8588663736979,244.91604113475628
30,2024-12-23,29,249.22000122070312,249.22000122070312,3.225738420100038,244.68499145507812,245.01791316579704
31,2024-12-24,30,251.3699951171875,251.3699951171875,3.225738420100038,244.65028279622396,245.59537516140932
32,2025-01-15,31,251.2100067138672,251.2100067138672,17.508735925822055,247.30819040934244,248.1070987506401
33,2025-01-16,32,252.2899932861328,252.2899932861328,17.508735925822055,247.49198252360026,248.48736189023577
34,2025-01-17,33,258.25,258.25,20.99307107169108,247.85618896484374,249.37487444568043
35,2025-02-06,34,248.3500061035156,248.3500061035156,17.477267787683378,249.5730000813802,247.71307053544
36,2025-04-09,35,210.8300018310547,210.8300018310547,4.742585732483789,217.17933349609376,210.82885713050757
37,2025-05-27,36,244.97000122070312,244.97000122070312,22.027287356025536,221.12866617838543,232.42609580995602
38,2025-05-29,37,244.0800018310547,244.0800018310547,22.027287356025536,223.85899963378907,234.30652567967533
