signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2000-03-01,0,12.041736602783203,12.041736602783203,20.78237317129356,11.366836229960123,11.516531126839775
2,2001-07-01,1,12.00484561920166,12.00484561920166,11.851819198777287,11.189202626546225,11.386004427356927
3,2002-06-01,2,11.860865592956545,11.860865592956545,5.9465371343591125,11.856553713480631,11.981973410197702
4,2003-06-01,3,11.639981269836426,11.639981269836426,18.19684114325142,11.754929224650065,11.565251835098062
5,2003-10-01,4,12.806044578552246,12.806044578552246,19.741775638736986,12.5974973042806,12.524835914864541
6,2004-12-01,5,11.593202590942385,11.593202590942385,2.5083021621599215,11.6180788675944,11.590595288338623
7,2005-06-01,6,10.670265197753906,10.670265197753906,23.953930946901732,10.498243649800619,10.64612977273859
8,2005-10-01,7,10.506373405456545,10.506373405456545,20.397739811961745,10.063571294148764,10.27833105162258
9,2006-05-01,8,10.832220077514648,10.832220077514648,8.397113258097319,10.47418212890625,10.527758540666
10,2009-07-01,9,11.820293426513672,11.820293426513672,14.868330933361227,11.674412727355957,11.738796471268254
11,2009-10-01,10,11.837475776672363,11.837475776672363,15.990844124488344,11.863089561462402,11.817173033792566
12,2010-07-01,11,12.399495124816896,12.399495124816896,0.9060065910355783,12.073132832845053,12.256661210267026
13,2011-04-01,12,13.56374168395996,13.56374168395996,18.750038136752796,13.016547520955404,13.23829605017829
14,2012-03-01,13,15.40373420715332,15.40373420715332,19.683190260612133,15.239289283752441,15.170809060111228
15,2013-01-01,14,18.040239334106445,18.040239334106445,11.039847905163349,18.0037899017334,18.067175659612765
16,2013-06-01,15,19.45102882385254,19.45102882385254,0.3890769025249307,19.683464686075848,19.44489421798152
17,2013-07-01,16,20.351900100708008,20.351900100708008,24.152190052777424,19.742944717407227,19.898397159344764
18,2014-08-01,17,20.202957153320312,20.202957153320312,0.9479321672866375,19.99334716796875,20.100583725108272
19,2015-12-01,18,16.92341423034668,16.92341423034668,21.80252849993346,16.323413213094074,16.796466387250696
20,2016-09-01,19,20.513521194458008,20.513521194458008,12.79075956778622,20.436545689900715,20.371617662792055
21,2017-02-01,20,20.319435119628903,20.319435119628903,21.84018763667546,19.699588775634766,19.90806935317456
22,2018-06-01,21,25.48017120361328,25.48017120361328,9.644605114876713,25.344263076782227,25.490390048794943
23,2020-03-01,22,34.875144958496094,34.875144958496094,21.24517317087328,34.35641098022461,34.607197117078265
24,2020-07-01,23,40.06998062133789,40.06998062133789,19.233553951432942,38.46973419189453,38.59387137438282
25,2020-11-01,24,47.507442474365234,47.507442474365234,24.12538967552086,44.71733601888021,45.07641787947803
26,2021-03-01,25,42.38840866088867,42.38840866088867,0.2989608949541426,42.258368174235024,42.42913639273593
27,2021-10-01,26,47.18098449707031,47.18098449707031,1.0187092089565337,45.928148905436196,45.97605170400552
28,2022-03-01,27,47.212432861328125,47.212432861328125,21.545839198665824,44.795586903889976,45.53915156100927
29,2022-07-01,28,42.17878341674805,42.17878341674805,12.597909867105027,40.65028508504232,41.80455692930441
30,2023-01-01,29,46.32839584350586,46.32839584350586,21.502759484082965,46.904275258382164,46.11691908667538
31,2023-06-01,30,51.01494216918945,51.01494216918945,19.914426656145597,49.105734507242836,49.32027323687761
32,2025-04-01,31,96.78937530517578,96.78937530517578,18.292113840779415,93.9328104654948,93.95356674830211
