signal_number,date,bar_index,price_level,close_price,stochastic_value,sma_value,ema_value
1,2024-01-08,0,136.96974182128906,136.96974182128906,0.0,,135.92587155080932
2,2024-01-10,1,137.57481384277344,137.57481384277344,0.0,,136.40767320337775
3,2024-03-01,2,142.8154754638672,142.8154754638672,19.392589768999613,139.8415334065755,141.34935336850415
4,2024-03-06,3,142.50318908691406,142.50318908691406,19.602848165580287,140.41634724934895,141.5667591856267
5,2024-03-07,4,143.16680908203125,143.16680908203125,19.602848165580287,140.67691599527996,141.71405534644546
6,2024-05-31,5,140.74545288085938,140.74545288085938,10.166652805835763,139.72552693684895,140.53427555352587
7,2024-06-03,6,141.7346954345703,141.7346954345703,10.166652805835763,139.91358032226563,140.64340910388984
8,2024-06-04,7,142.14605712890625,142.14605712890625,15.151678203944167,140.09804128011066,140.78001855682038
9,2024-07-09,8,142.52603149414062,142.52603149414062,11.680480199283782,142.4206278483073,142.52163150238357
10,2024-08-08,9,146.7443084716797,146.7443084716797,7.544141695518709,145.22054392496744,145.84765665646606
11,2024-08-09,10,147.47190856933594,147.47190856933594,7.544141695518709,145.35525258382162,145.99531598984967
12,2024-09-09,11,152.43746948242188,152.43746948242188,5.324344288428898,150.10152994791667,151.47983785808825
13,2024-09-10,12,153.13558959960938,153.13558959960938,5.324344288428898,150.28802439371745,151.6303607531277
14,2024-09-12,13,153.23391723632812,153.23391723632812,23.29438353965729,150.65871938069662,151.86315871655754
15,2024-10-09,14,151.33807373046875,151.33807373046875,6.845940254675294,152.16344451904297,151.14318438812265
16,2025-02-13,15,145.13296508789062,145.13296508789062,13.433174320177638,142.24498240152994,143.97052913787374
17,2025-02-19,16,145.14288330078125,145.14288330078125,0.0,142.95813802083333,143.98886025374682
18,2025-02-20,17,145.95584106445312,145.95584106445312,0.0,143.2291239420573,144.16767669108404
19,2025-03-17,18,145.50970458984375,145.50970458984375,4.977985378812176,145.76185506184896,145.4223095428462
20,2025-03-18,19,145.57908630371094,145.57908630371094,4.977985378812176,145.74202626546224,145.43656197565207
21,2025-03-19,20,145.65841674804688,145.65841674804688,21.996945761965726,145.7380610148112,145.45673059132432
22,2025-03-31,21,145.3162841796875,145.3162841796875,10.43742142436233,145.68208821614584,145.13486831884774
23,2025-06-24,22,133.77999877929688,133.77999877929688,3.861837920904315,132.62054443359375,133.3768429560317
24,2025-06-25,23,133.89999389648438,133.89999389648438,3.861837920904315,132.5734095255534,133.42440213243648
25,2025-06-26,24,134.22000122070312,134.22000122070312,20.71086668425595,132.6726277669271,133.4967293222789
26,2025-07-23,25,136.27000427246094,136.27000427246094,0.9090530774174754,134.27572224934895,134.0005597383706
