Ticker,Date,MaxVolume,Original_Days,Analyzed_Days,Filter_Efficiency_Pct,Date_Range,Min_Price_Filter,Min_Volume_Filter,Std_Filter,Close,Filter_Reason,Filtered_Out
BKNG,2024-08-02,801500.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,3302.45751953125,,
MELI,2024-11-07,2966800.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,1774.050048828125,,
REGN,2025-05-30,6313100.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,489.5366516113281,,
CHTR,2025-07-25,9638100.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,309.75,,
KLAC,2025-04-09,3447900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,700.0973510742188,,
META,2024-12-20,48989400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,584.2802124023438,,
ASML,2025-07-16,10789600.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,754.4500122070312,,
NFLX,2024-10-18,15974100.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,763.8900146484375,,
COST,2024-07-11,6021100.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,841.0703125,,
ADBE,2024-12-12,17344900.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,474.6300048828125,,
LULU,2025-09-05,36736100.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,167.8000030517578,,
ROP,2024-07-24,2064400.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,528.8484497070312,,
LIN,2024-12-20,6680900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,421.5548095703125,,
FANG,2024-10-08,10794600.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,188.781478881836,,
VRTX,2025-08-05,10729400.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,374.9800109863281,,
SNPS,2025-07-16,7936000.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,571.2000122070312,,
INTU,2025-08-22,6368800.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,662.6599731445312,,
MSFT,2024-12-20,64263700.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,434.9278564453125,,
AMGN,2024-11-26,17010300.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,275.33270263671875,,
IDXX,2025-08-04,3331900.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,682.780029296875,,
MSTR,2024-11-21,100444000.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,397.2799987792969,,
TMUS,2025-04-25,13561400.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,231.9140167236328,,
BIIB,2024-12-20,5776200.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,146.47000122070312,,
QCOM,2024-09-20,27546400.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,166.14173889160156,,
ADP,2024-12-20,4165800.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,291.007568359375,,
CEG,2025-01-27,16083200.0,421.0,7.0,1.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,273.7817077636719,,
GOOGL,2025-05-07,127490100.0,421.0,3.0,0.7,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,151.19696044921875,,
GOOG,2025-05-07,78729800.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,152.61656188964844,,
PDD,2024-08-26,103174600.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,100.0,,
MAR,2025-06-27,4507300.0,421.0,9.0,2.1,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,273.4700012207031,,
HON,2025-02-06,12185300.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,206.56678771972656,,
NXPI,2025-04-09,8787100.0,421.0,6.0,1.4,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,185.0074615478516,,
AMAT,2025-08-15,31803300.0,421.0,4.0,1.0,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,161.75999450683594,,
CDW,2025-04-04,4384200.0,421.0,5.0,1.2,2024-07-06 to 2025-09-26,20.0,100000.0,3σ,143.99755859375,,
