Ticker,Date,Price_Momentum,Volume_Ratio,Trend_Score,Combined_Score,Signal,Close
BKNG,2025-09-05,-2.25,1.01,-1.61,-0.67,HOLD,5505.7998046875
MELI,2025-09-05,2.33,1.38,-5.57,14.91,HOLD,2417.489990234375
REGN,2025-09-05,1.98,0.97,10.22,1.52,HOLD,573.3800048828125
CHTR,2025-09-05,-15.58,0.89,-33.63,-17.17,HOLD,261.5
KLAC,2025-09-05,0.55,1.14,0.46,6.08,HOLD,905.0900268554688
META,2025-09-05,5.58,0.81,3.63,-4.74,HOLD,752.4500122070312
ASML,2025-09-05,9.91,1.27,-2.05,14.35,HOLD,781.7000122070312
NFLX,2025-09-05,5.36,0.86,-4.81,-4.61,HOLD,1243.8199462890625
COST,2025-09-05,3.14,0.89,-1.84,-3.42,HOLD,963.47998046875
ADBE,2025-09-05,-5.87,1.27,-9.35,6.69,HOLD,348.9700012207031
LULU,2025-09-05,-23.53,7.45,-27.54,243.08,HOLD,167.8000030517578
ROP,2025-09-05,-7.92,1.02,-8.16,-4.05,HOLD,518.4400024414062
LIN,2025-09-05,-0.71,0.69,1.09,-12.44,HOLD,469.5199890136719
FANG,2025-09-05,-3.39,1.02,-0.82,-0.62,HOLD,138.7100067138672
VRTX,2025-09-05,-15.66,0.54,-10.66,-26.86,SELL,396.1199951171875
SNPS,2025-09-05,-0.57,1.13,20.67,9.29,HOLD,598.1400146484375
INTU,2025-09-05,-14.39,0.8,-12.83,-16.23,HOLD,672.8200073242188
MSFT,2025-09-05,-3.64,1.44,-0.49,16.17,HOLD,495.0
AMGN,2025-09-05,-7.48,1.13,1.62,2.36,HOLD,283.6400146484375
IDXX,2025-09-05,13.77,0.54,21.83,-8.47,HOLD,642.989990234375
MSTR,2025-09-05,-17.25,1.25,-13.09,0.42,HOLD,335.8699951171875
TMUS,2025-09-05,3.78,0.84,9.22,-2.96,HOLD,252.75999450683597
BIIB,2025-09-05,6.96,1.0,10.83,5.13,HOLD,140.6699981689453
QCOM,2025-09-05,0.91,0.97,1.04,-0.52,HOLD,159.83999633789062
ADP,2025-09-05,-4.1,1.22,-2.31,6.57,HOLD,295.9700012207031
CEG,2025-09-05,-7.76,1.26,-6.38,5.88,HOLD,301.5799865722656
GOOGL,2025-09-05,21.65,1.31,35.42,27.98,HOLD,235.0
GOOG,2025-09-05,21.17,1.13,34.82,20.53,HOLD,235.1699981689453
PDD,2025-09-05,5.26,1.01,17.9,6.06,HOLD,124.68000030517578
