ticker,description,market_cap,market_cap_currency,sector,industry,exchange,analyst rating,upcoming earnings date,recent earnings date,index,NASDAQComposite,SP500,SP500ConsumerDiscretionary,Russell3000,Russell1000,NASDAQIndustrials,NASDAQBank,NasdaqUSLargeCapGrowth,Russell2000,SPMidCap400,MiniRussell2000,SP500ESG,NASDAQ100,SP100,NASDAQUSBenchmarkFoodProducers,NasdaqUSSmallCapGrowth,NASDAQComputer,DowJonesIndustrialAverage,KBWNASDAQBank,SP500Financials,DowJonesCompositeAverage,SP500HealthCare,NASDAQBiotechnology,SP500Industrials,PHLXSemiconductorSector,SP500InformationTechnology,SP500CommunicationServices,NASDAQTelecommunications,NASDAQRealEstateandOtherFinancialServices,NASDAQ100TechnologySector,NASDAQCBInsightsMetaverseUSIndex,NasdaqUSMidCapGrowth,PHLXHousingSector,SP500Energy,NYSEArcaMajorMarket,SP500Materials,SP500ConsumerStaples,NASDAQInsurance,NASDAQTransportation,DowJonesTransportationAverage,ISECTACloudComputing,KBWNASDAQFinancialTechnologyIndex,NASDAQCleanEdgeGreenEnergy,SP500RealEstate,NASDAQGoldenDragonChina,SP500Utilities,PHLXUtilitiesSector,DowJonesUtilityAverage,PHLXGoldSilverSector,PHLXOilServiceSector,MainIndex,exchange_NASDAQ,exchange_NYSE,exchange_AMEX,rating_Neutral,rating_Buy,rating_Sell,rating_Strong_buy,rating_Strong_sell,filter_applied,universe_name,generation_source,generation_date
FDX,FedEx Corporation,54516281977.0,USD,Transportation,Air freight/Couriers,NYSE,Buy,2025-09-18,2025-06-24,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000",False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
R,"Ryder System, Inc.",7632336295.0,USD,Transportation,Air freight/Couriers,NYSE,Buy,2025-10-23,2025-07-24,"Dow Jones Transportation Average, S&P MidCap 400, Russell 3000, Dow Jones Composite Average, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
UPS,"United Parcel Service, Inc.",74128435100.0,USD,Transportation,Air freight/Couriers,NYSE,Buy,2025-10-28,2025-07-29,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000",False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
EXPD,"Expeditors International of Washington, Inc.",16503371961.0,USD,Transportation,Air freight/Couriers,NYSE,Sell,2025-11-04,2025-08-05,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, Russell 3000, Dow Jones Composite Average, Russell 1000",False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
CHRW,"C.H. Robinson Worldwide, Inc.",14985768846.0,USD,Transportation,Air freight/Couriers,NASDAQ,Buy,2025-10-29,2025-07-30,"S&P 500, NASDAQ Composite, Dow Jones Transportation Average, S&P 500 Industrials, Russell 3000, Dow Jones Composite Average, Russell 1000, NASDAQ Transportation, S&P 500 ESG",True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
DASH,"DoorDash, Inc.",106281796791.0,USD,Transportation,Air freight/Couriers,NASDAQ,Buy,2025-10-29,2025-08-06,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, NASDAQ-100 Technology Sector, Russell 1000, NASDAQ Computer",True,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
CART,Maplebear Inc.,11319943791.0,USD,Transportation,Air freight/Couriers,NASDAQ,Buy,2025-11-05,2025-08-07,"NASDAQ Composite, S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ Computer",True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
HUBG,"Hub Group, Inc.",2268797831.0,USD,Transportation,Air freight/Couriers,NASDAQ,Buy,2025-10-23,2025-07-31,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Transportation, Mini-Russell 2000",True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
ZTO,ZTO Express (Cayman) Inc.,15027237604.1098,USD,Transportation,Air freight/Couriers,NYSE,Strong buy,2025-11-25,2025-08-19,NASDAQ Golden Dragon China,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
GXO,"GXO Logistics, Inc.",6096846800.0,USD,Transportation,Air freight/Couriers,NYSE,Buy,2025-11-11,2025-08-05,"S&P MidCap 400, Russell 3000, Russell 1000",False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
MATH,Metalpha Technology Holding Limited,115730230.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Real Estate and Other Financial Services",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
RLGT,"Radiant Logistics, Inc.",300773499.0,USD,Transportation,Air freight/Couriers,AMEX,Strong buy,2025-09-11,2025-05-12,"Russell 2000, Mini-Russell 2000",False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
SFWL,Shengfeng Development Limited,83322486.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
GRAB,Grab Holdings Limited,20380000000.0,USD,Transportation,Air freight/Couriers,NASDAQ,Strong buy,2025-11-18,2025-07-30,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
BANL,CBL International Limited,18727500.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
JYD,Jayud Global Logistics Limited,24604819.2,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
FLX,BingEx Limited,241841700.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,2025-11-26,2025-08-19,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
LSH,Lakeside Holding Limited,9240000.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
CYRX,"CryoPort, Inc.",440088638.0,USD,Transportation,Air freight/Couriers,NASDAQ,Strong buy,2025-11-06,2025-08-05,"NASDAQ Composite, Russell 2000, Russell 3000, NASDAQ Industrials, Mini-Russell 2000",True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
SGLY,Singularity Future Technology Ltd.,4665876.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,2025-09-03,2021-09-29,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
AIRT,"Air T, Inc.",61187743.7595295,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
HKPD,Hong Kong Pharma Digital Technology Holdings Limited,,,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Industrials",True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
AIRTP,"Air T, Inc. - Trust Preferred Securities",62039075.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
CJMB,Callan JMB Inc.,,,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
ETS,Elite Express Holding Inc.,,,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
GVH,Globavend Holdings Limited - Ord Shares,5651500.0,USD,Transportation,Air freight/Couriers,NASDAQ,Strong buy,2025-12-03,2025-05-28,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
PSIG,PS International Group Ltd.,12713113.0,USD,Transportation,Air freight/Couriers,NASDAQ,Neutral,,,"NASDAQ Composite, NASDAQ Transportation",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,industry=Air freight/Couriers,ticker_universe_industry_Air_freight_Couriers,simple_universe_generator,2026-02-11T13:08:09.713510
